time,y
78.4,-3.402
78.6,-7.925
78.8,-4.653
79,-2.308
79.2,-5.936
79.4,-7.312
79.6,-1.958
79.8,-2.943
80,-8.726
80.2,-4.325
80.4,-0.9191
80.6,-2.742
80.8,-9.774
81,-4.001
81.2,-2.365
81.4,-9.526
81.6,-22.45
81.8,-2.733
82,-0.6107
82.2,-2.619
82.4,-3.662
82.6,1.545
82.8,2.911
83,11.97
83.2,14.96
83.4,1.836
83.6,1.226
83.8,6.265
84,18.9
84.2,0.377
84.4,-2.217
84.6,-6.973
84.8,-6.35
85,-1.457
85.2,-2.886
85.4,-9.166
85.6,-4.062
85.8,-0.3258
86,-0.5903
86.2,-3.54
86.4,-10.87
86.6,-4.719
86.8,-9.441
87,-18.89
87.2,-6.573
87.4,-5.961
87.6,-17.05
87.8,-11.15
88,-3.565
88.2,-9.422
88.4,-20.78
88.6,-4.447
88.8,-2.728
89,-11.18
89.2,-20.07
89.4,-2.121
89.6,-0.4838
89.8,-2.241
90,-4.797
90.2,2.013
90.4,4.004
90.6,14.15
90.8,12.03
91,1.793
91.2,2.814
91.4,13.47
91.6,13.34
91.8,2.151
92,4.841
92.2,16.51
92.4,3.45
92.6,0.1685
92.8,0.2646
93,1.696
93.2,12.32
93.4,7.834
93.6,-2.144
93.8,-5.329
94,-7.152
94.2,-3.383
94.4,-4.389
94.6,-7.736
94.8,-3.895
95,-3.415
95.2,-7.483
95.4,-5.106
95.6,-2.639
95.8,-6.008
96,-7.042
96.2,-2.355
96.4,-3.824
96.6,-8.607
96.8,-3.465
97,-1.942
97.2,-6.14
97.4,-7.387
97.6,-1.32
97.8,-1.505
98,-6.603
98.2,-7.429
98.4,-1.845
98.6,-5.225
98.8,-21.25
99,-7.636
99.2,-0.595
99.4,-1.259
99.6,-5.399
99.8,1.627
100,2.008
100.2,7.047
100.4,19.87
100.6,4.771
100.8,0.3328
101,0.698
101.2,4.567
101.4,21.49
101.6,0.3561
101.8,-3.204
102,-7.201
102.2,-5.359
102.4,-2.839
102.6,-5.988
102.8,-6.937
103,-2.61
103.2,-4.225
103.4,-8.315
103.6,-3.326
103.8,-2.554
104,-7.274
104.2,-5.954
104.4,-1.553
104.6,-3.446
104.8,-9.288
105,-3.261
105.2,-0.5983
105.4,-2.072
105.6,-9.387
105.8,-5.271
106,-4.083
106.2,-13.72
106.4,-15.88
106.6,-2.418
106.8,-3.302
107,-15
107.2,-14.58
107.4,-1.132
107.6,-1.028
107.8,-4.548
108,0.6326
108.2,1.115
108.4,3.537
108.6,15.99
108.8,10.59
109,1.743
109.2,4.649
109.4,17.07
109.6,3.091
109.8,-0.2422
110,-1.406
