time,z
84.2,29.56
84.4,18.15
84.6,21.39
84.8,35.05
85,21.58
85.2,14.4
85.4,28.98
85.6,30.91
85.8,17.96
86,10.6
86.2,8.258
86.4,40.83
86.6,27.05
86.8,18.83
87,29.53
87.2,29.83
87.4,19.4
87.6,21.14
87.8,35
88,22.44
88.2,15.86
88.4,31.8
88.6,29.14
88.8,17.4
89,13.24
89.2,37.39
89.4,26.7
89.6,15.64
89.8,10.7
90,33.59
90.2,29.27
90.4,17.57
90.6,18.17
90.8,37.12
91,22.72
91.2,13.65
91.4,13.92
91.6,40.16
91.8,23.31
92,14.72
92.2,23.72
92.4,33.73
92.6,19.51
92.8,11.45
93,6.802
93.2,8.359
93.4,44.05
93.6,24.74
93.8,21.67
94,32.7
94.2,25.73
94.4,20.2
94.6,31.07
94.8,28.19
95,19.91
95.2,26.52
95.4,31.5
95.6,20.98
95.8,20.74
96,34.77
96.2,23.68
96.4,17.28
96.6,31.87
96.8,28.72
97,17.87
97.2,18.32
97.4,36.97
97.6,22.85
97.8,13.89
98,16.37
98.2,38.45
98.4,22.04
98.6,13.62
98.8,20.54
99,35.58
99.2,20.33
99.4,12.49
99.6,19.41
99.8,36.18
100,20.56
100.2,13.87
100.4,30.85
100.6,30.03
100.8,17.42
101,10.23
101.2,6.611
101.4,26.67
101.6,32.17
101.8,20.81
102,25.95
102.2,31.7
102.4,21.64
102.6,21.33
102.8,34.19
103,23.9
103.2,18.27
103.4,32.62
103.6,27.85
103.8,18.09
104,22.68
104.2,34.23
104.4,21.11
104.6,14.86
104.8,32.52
105,28.97
105.2,16.99
105.4,10.75
105.6,24.45
105.8,33.2
106,19.31
106.2,16.55
106.4,37.15
106.6,24.88
106.8,14.95
107,14.06
107.2,39.84
107.4,23.87
107.6,14.4
107.8,16.18
108,38.61
108.2,22.31
108.4,13.52
108.6,16.85
108.8,38.07
109,21.71
109.2,13.65
109.4,23.31
109.6,33.94
109.8,19.46
110,11.78
110.2,16.08
110.4,38.39
110.6,21.68
110.8,15.46
111,33.17
111.2,28.46
111.4,16.86
111.6,12.08
111.8,35.77
112,27.99
112.2,16.51
112.4,13.83
112.6,39.04
112.8,25.13
113,14.79
113.2,10.96
113.4,38.01
113.6,27.27
113.8,16.7
114,20.08
114.2,35.99
114.4,21.42
114.6,12.92
114.8,14.74
115,39.58
115.2,22.56
115.4,14.77
115.6,27.77
115.8,31.51
116,18.34
116.2,10.96
116.4,12.05
116.6,41.48
116.8,23.48
117,17.2
117.2,32.9
117.4,28.08
117.6,17.46
117.8,18.52
118,36.91
118.2,22.52
118.4,13.59
118.6,14.94
118.8,39.46
119,22.67
119.2,14.31
119.4,23.68
119.6,33.75
119.8,19.44
120,11.44
120.2,7.839
120.4,34.05
120.6,29.58
120.8,19.35
121,26.37
121.2,31.76
121.4,20.59
121.6,19.25
121.8,35.63
122,24.14
122.2,16.21
122.4,27.79
122.6,31.36
122.8,18.71
123,13.19
123.2,34.07
123.4,28.54
123.6,16.61
123.8,10.41
124,23.18
124.2,33.81
124.4,19.67
124.6,17.31
124.8,36.82
125,24.57
125.2,15.08
125.4,17.93
125.6,37.41
125.8,21.72
126,12.8
126.2,9.432
126.4,38.46
126.6,27.59
126.8,17.78
127,25.49
127.2,32.55
127.4,20.02
127.6,15.48
127.8,35.95
