time,x,y,z
0,-13.21,-3.545,5.075
0.2,-16.75,0.7834,46.18
0.4,-4.52,6.641,26.06
0.6,-6.722,11.75,23.98
0.8,-5.729,12.17,30.88
1,-3.583,7.598,25.82
1.2,-6.244,10.96,23.01
1.4,-6.428,13.1,30.69
1.6,-3.388,7.584,26.81
1.8,-5.665,9.958,22.35
2,-7.174,13.93,29.87
2.2,-3.314,7.849,28.05
2.4,-4.988,8.867,22.04
2.6,-7.797,14.41,28.28
2.8,-3.436,8.502,29.53
3,-4.264,7.779,22.16
3.2,-8.05,14.25,25.98
3.4,-3.879,9.668,31.14
3.6,-3.549,6.805,22.8
3.8,-7.714,13.22,23.36
4,-4.832,11.45,32.55
4.2,-2.906,6.092,24.03
4.4,-6.741,11.35,21.08
4.6,-6.455,13.76,32.85
4.8,-2.426,5.888,25.99
5,-5.321,8.971,19.75
5.2,-8.41,15.83,30.47
5.4,-2.305,6.652,28.84
5.6,-3.772,6.58,19.78
5.8,-9.172,15.63,24.79
6,-3.073,9.121,32.65
6.2,-2.371,4.655,21.4
6.4,-7.307,11.84,18.86
6.6,-6.171,14.14,35.31
6.8,-1.363,3.954,25
7,-3.997,6.51,16.68
7.2,-10.52,17.96,26.77
7.4,-1.56,6.921,31.89
7.6,-1.288,2.524,19.18
7.8,-5.497,8.529,13.9
8,-9.866,18.99,34.97
8.2,-0.09042,3.515,27.87
8.4,0.1056,0.2446,16.23
8.6,0.5298,0.6715,9.539
8.8,3.522,4.557,6.189
9,18.39,21.74,26.89
9.2,6.65,0.2288,32.1
9.4,7.993,-3.364,21.07
9.6,15.9,-7.212,26.53
9.8,7.801,-5.227,31.23
10,6.207,-3.023,21.67
10.2,14.56,-6.243,22.36
10.4,10.47,-6.594,33.62
10.6,4.87,-2.728,23.51
10.8,11.27,-4.712,19.13
11,14.98,-7.99,33.49
11.2,4.431,-3.101,26.71
11.4,7.277,-3.108,18.17
11.6,17.96,-7.935,26.52
11.8,6.21,-4.896,31.85
12,3.905,-1.917,19.94
12.2,12.65,-5.059,17.11
12.4,14.01,-8.284,36.58
12.6,2.356,-2.007,25.04
12.8,4.207,-1.731,15.37
13,17,-6.694,17.87
13.2,8.766,-7.117,37.46
13.4,0.4687,-0.9756,21.86
13.6,-0.04838,-1.125,12.84
13.8,-0.2272,-6.304,8.313
14,-2.217,-26.98,27.91
14.2,-4.333,-3.924,31.69
14.4,-6.67,-1.639,19.65
14.6,-17.47,-4.008,23.28
14.8,-10.3,-0.09346,33.66
15,-4.4,-0.5932,21.71
15.2,-11.7,-2.91,17.24
15.4,-17.8,-2.406,34.93
15.6,-4.104,0.2512,26.53
15.8,-5.065,-1.179,16.57
16,-17.99,-4.51,19.7
16.2,-10.7,0.4694,36.23
16.4,-1.422,0.1234,21.55
