time,x
0.000000000000000000e+00,5.910812350128343828e-01
2.000000000000000042e-02,-1.553794182615782393e+00
4.000000000000000083e-02,-3.748021114986418656e+00
5.999999999999999778e-02,-6.220824421872565679e+00
8.000000000000000167e-02,-8.783710154158438144e+00
1.000000000000000056e-01,-1.116729723985859302e+01
1.199999999999999956e-01,-1.315124730119630847e+01
1.400000000000000133e-01,-1.445668628965555413e+01
1.600000000000000033e-01,-1.474875089313935916e+01
1.799999999999999933e-01,-1.377850774598372041e+01
2.000000000000000111e-01,-1.159669133913931027e+01
2.200000000000000011e-01,-8.659002209959814067e+00
2.399999999999999911e-01,-5.649375128390009770e+00
2.600000000000000089e-01,-3.112693997261055667e+00
2.800000000000000266e-01,-1.235805813035453449e+00
2.999999999999999889e-01,6.250023733135287585e-02
3.200000000000000067e-01,9.429202720995202291e-01
3.400000000000000244e-01,1.553497560440584735e+00
3.599999999999999867e-01,2.011514610102013823e+00
3.800000000000000044e-01,2.400456745231968281e+00
4.000000000000000222e-01,2.768344903256859446e+00
4.199999999999999845e-01,3.133531406585131851e+00
4.400000000000000022e-01,3.498750280779246769e+00
4.600000000000000200e-01,3.864288964640709700e+00
4.799999999999999822e-01,4.234039437428395836e+00
5.000000000000000000e-01,4.615848104524865825e+00
5.200000000000000178e-01,5.019694283344901642e+00
5.400000000000000355e-01,5.455753151831874703e+00
5.600000000000000533e-01,5.932932244528351440e+00
5.799999999999999600e-01,6.457802828099814541e+00
5.999999999999999778e-01,7.033672353238076269e+00
6.199999999999999956e-01,7.659573674849623259e+00
6.400000000000000133e-01,8.329051360668067616e+00
6.600000000000000311e-01,9.028777643159660471e+00
6.800000000000000488e-01,9.737229766616538384e+00
7.000000000000000666e-01,1.042390557616280233e+01
7.199999999999999734e-01,1.104979655376253866e+01
7.399999999999999911e-01,1.156993676761170775e+01
7.600000000000000089e-01,1.193858296944856257e+01
7.800000000000000266e-01,1.211675366074682714e+01
8.000000000000000444e-01,1.208054605847591745e+01
8.200000000000000622e-01,1.182746807690065083e+01
8.399999999999999689e-01,1.137796946997662317e+01
8.599999999999999867e-01,1.077105813288811298e+01
8.800000000000000044e-01,1.005566755791401867e+01
9.000000000000000222e-01,9.281441676410524977e+00
9.200000000000000400e-01,8.492315071617195343e+00
9.400000000000000577e-01,7.724058274241142996e+00
9.599999999999999645e-01,7.004702777894316945e+00
9.799999999999999822e-01,6.355953701854172522e+00
1.000000000000000000e+00,5.794270030731174970e+00
1.020000000000000018e+00,5.331256514248817524e+00
1.040000000000000036e+00,4.973651329205162064e+00
1.060000000000000053e+00,4.723414238520579289e+00
1.080000000000000071e+00,4.578341704008330737e+00
1.100000000000000089e+00,4.533329843822601291e+00
1.120000000000000107e+00,4.582007741130868617e+00
1.140000000000000124e+00,4.718246613863538386e+00
1.159999999999999920e+00,4.937153509768403836e+00
1.179999999999999938e+00,5.235427306490957555e+00
1.199999999999999956e+00,5.611158283859317919e+00
1.219999999999999973e+00,6.063200511107120327e+00
1.239999999999999991e+00,6.590200358128963209e+00
1.260000000000000009e+00,7.189299989150212511e+00
1.280000000000000027e+00,7.854503940742228352e+00
1.300000000000000044e+00,8.574726767139489780e+00
1.320000000000000062e+00,9.331652765036167807e+00
1.340000000000000080e+00,1.009775556690912524e+01
1.360000000000000098e+00,1.083513669941926949e+01
1.380000000000000115e+00,1.149616330122953300e+01
1.400000000000000133e+00,1.202699350968577896e+01
1.419999999999999929e+00,1.237462666150332780e+01
1.439999999999999947e+00,1.249682655311046098e+01
1.459999999999999964e+00,1.237236577223317724e+01
