time,x
0,-13.21
0.2,-16.75
0.4,-4.52
0.6,-6.722
0.8,-5.729
1,-3.583
1.2,-6.244
1.4,-6.428
1.6,-3.388
1.8,-5.665
2,-7.174
2.2,-3.314
2.4,-4.988
2.6,-7.797
2.8,-3.436
3,-4.264
3.2,-8.05
3.4,-3.879
3.6,-3.549
3.8,-7.714
4,-4.832
4.2,-2.906
4.4,-6.741
4.6,-6.455
4.8,-2.426
5,-5.321
5.2,-8.41
5.4,-2.305
5.6,-3.772
5.8,-9.172
6,-3.073
6.2,-2.371
6.4,-7.307
6.6,-6.171
6.8,-1.363
7,-3.997
7.2,-10.52
7.4,-1.56
7.6,-1.288
7.8,-5.497
8,-9.866
8.2,-0.09042
8.4,0.1056
8.6,0.5298
8.8,3.522
9,18.39
9.2,6.65
9.4,7.993
9.6,15.9
9.8,7.801
10,6.207
10.2,14.56
10.4,10.47
10.6,4.87
10.8,11.27
11,14.98
11.2,4.431
11.4,7.277
11.6,17.96
11.8,6.21
12,3.905
12.2,12.65
12.4,14.01
12.6,2.356
12.8,4.207
13,17
13.2,8.766
13.4,0.4687
13.6,-0.04838
13.8,-0.2272
14,-2.217
14.2,-4.333
14.4,-6.67
14.6,-17.47
14.8,-10.3
15,-4.4
15.2,-11.7
15.4,-17.8
15.6,-4.104
15.8,-5.065
16,-17.99
16.2,-10.7
16.4,-1.422
16.6,-2.969
16.8,-15.14
17,-14.5
17.2,-1.976
17.4,-4.096
17.6,-11.01
17.8,-1.053
18,-0.6655
18.2,-3.313
18.4,-12.63
18.6,-0.1217
18.8,1.837
19,6.847
19.2,14.6
19.4,3.014
19.6,0.1813
19.8,0.4775
20,3.209
20.2,18.01
20.4,7.052
20.6,7.913
20.8,15.64
21,8.15
21.2,6.295
21.4,14.33
21.6,10.67
21.8,5.086
22,11.37
22.2,14.71
22.4,4.66
22.6,7.742
22.8,17.7
23,6.061
23.2,4.523
23.4,13.99
23.6,12.04
23.8,2.638
24,6.113
24.2,19.71
24.4,5.453
24.6,0.9161
24.8,3.398
25,17.58
25.2,8.293
25.4,0.07698
25.6,-0.6233
25.8,-2.843
26,-2.028
26.2,-0.3008
26.4,-0.566
26.6,-3.635
26.8,-1.914
27,-2.164
27.2,-9.946
27.4,-21.87
27.6,-2.81
27.8,-2.348
28,-9.073
28.2,-3.848
28.4,0.001039
28.6,-0.2088
28.8,-1.316
29,-8.983
29.2,-3.368
29.4,3.544
29.6,8.622
29.8,11.31
30,4.579
30.2,6.498
30.4,12.82
30.6,5.623
30.8,4.471
31,11.61
31.2,8.544
31.4,3.089
31.6,7.311
31.8,13.42
32,3.632
32.2,2.985
32.4,10.85
32.6,10.15
32.8,1.304
33,0.981
33.2,5.154
33.4,17.43
33.6,4.553
33.8,6.311
34,17.56
34.2,7.335
34.4,3.077
34.6,9.912
34.8,17.98
35,2.687
35.2,2.091
35.4,9.518
35.6,19.74
35.8,1.436
36,-0.1987
36.2,-0.7826
36.4,-4.107
36.6,-1.252
36.8,-1.542
37,-7.895
37.2,-24.95
37.4,-3.792
37.6,-3.213
37.8,-9.672
38,-2.95
38.2,-1.079
38.4,-4.329
38.6,-11.25
38.8,-0.5522
39,-0.1418
39.2,-0.9742
39.4,-6.179
39.6,-8.993
39.8,2.253
40,6.307
40.2,13.06
40.4,5.472
40.6,4.092
40.8,11.33
41,9.042
41.2,2.687
41.4,6.085
41.6,14.46
41.8,4.26
42,1.74
42.2,6.663
42.4,15.16
42.6,2.991
42.8,2.109
43,9.523
43.2,19.83
43.4,1.358
43.6,-0.2394
43.8,-0.9251
44,-4.076
44.2,-0.9271
44.4,-0.3022
44.6,-1.607
44.8,-11.3
45,-20.43
45.2,-3.671
45.4,-6.028
