time,A,B
7.900000000000000355e+00,"(-16.0551, -16.9089)","(-12.5456, 10.5081)"
8.000000000000000000e+00,"(-9.7726, -7.6989)","(-29.1021, 25.5574)"
8.099999999999999645e+00,"(-3.9084, -2.1085)","(-8.51, 14.4486)"
8.200000000000001066e+00,"(-1.3322, -0.4177)","(-2.0329, 10.9763)"
8.300000000000000711e+00,"(-1.358, -0.1301)","(-0.9626, 15.0431)"
8.400000000000000355e+00,"(-2.6006, -0.1722)","(-0.9085, 22.3695)"
8.500000000000000000e+00,"(-5.7711, -0.4047)","(0.4521, 19.4539)"
8.599999999999999645e+00,"(-13.3461, -0.9526)","(1.0041, 10.6321)"
8.700000000000001066e+00,"(-24.558, -1.3005)","(0.1465, 8.6081)"
8.800000000000000711e+00,"(-17.5931, 1.0682)","(-0.6804, 14.2783)"
8.900000000000000355e+00,"(-6.2384, 1.9641)","(-1.1737, 24.4967)"
9.000000000000000000e+00,"(-2.5821, 1.6704)","(0.6802, 20.4586)"
9.099999999999999645e+00,"(-2.9885, 2.6006)","(1.3949, 8.9426)"
9.200000000000001066e+00,"(-5.2154, 4.6457)","(0.2608, 5.4455)"
9.300000000000000711e+00,"(-9.9928, 8.8674)","(-0.5538, 10.0269)"
9.400000000000000355e+00,"(-15.5848, 14.3107)","(-1.5534, 22.7708)"
9.500000000000000000e+00,"(-11.4367, 12.3369)","(-0.298, 28.0016)"
9.600000000000001421e+00,"(-4.2675, 6.0299)","(2.4953, 10.774)"
9.700000000000001066e+00,"(-1.5387, 2.2626)","(1.2982, 3.0732)"
9.800000000000000711e+00,"(-1.2119, 1.296)","(0.9342, 1.2808)"
9.900000000000000355e+00,"(-2.2273, 2.022)","(2.3084, 2.7409)"
1.000000000000000000e+01,"(-4.7516, 4.1675)","(7.3408, 8.7766)"
1.010000000000000142e+01,"(-10.4254, 9.0989)","(21.9895, 25.8756)"
1.020000000000000107e+01,"(-17.6279, 16.0091)","(17.9696, 14.6348)"
1.030000000000000071e+01,"(-11.1349, 12.5918)","(11.9695, 3.082)"
1.040000000000000036e+01,"(-3.1123, 5.4911)","(13.9705, 1.06)"
1.050000000000000000e+01,"(-0.6451, 2.1676)","(20.7344, 0.9086)"
1.060000000000000142e+01,"(-0.2083, 2.3343)","(20.7273, -0.0886)"
1.070000000000000107e+01,"(-0.2619, 4.2208)","(12.3903, -0.9689)"
1.080000000000000071e+01,"(-0.5774, 8.7651)","(9.1326, -0.2921)"
1.090000000000000036e+01,"(-1.1161, 17.8316)","(13.3854, 0.5167)"
1.100000000000000000e+01,"(-0.5012, 23.1379)","(22.6038, 1.07)"
1.110000000000000142e+01,"(1.5271, 11.7273)","(21.7437, -0.2754)"
1.120000000000000107e+01,"(1.2375, 3.9752)","(10.6616, -1.3271)"
1.130000000000000071e+01,"(0.6645, 1.1989)","(6.5914, -0.3464)"
1.140000000000000036e+01,"(0.965, 1.1521)","(10.7953, 0.5125)"
1.150000000000000000e+01,"(1.9186, 2.1894)","(22.4436, 1.4025)"
1.160000000000000142e+01,"(4.2499, 4.8913)","(26.2696, 0.1861)"
1.170000000000000107e+01,"(9.6911, 11.1579)","(10.9159, -2.0633)"
1.180000000000000071e+01,"(16.9084, 18.5498)","(3.4547, -0.814)"
1.190000000000000036e+01,"(11.9898, 10.07)","(2.8213, 0.0315)"
1.200000000000000000e+01,"(5.1544, 2.5306)","(7.561, 0.5816)"
1.210000000000000142e+01,"(2.8498, 0.5432)","(22.1933, 1.8445)"
1.220000000000000107e+01,"(3.9652, 0.2627)","(34.6697, 1.0262)"
1.230000000000000071e+01,"(7.1614, 0.4208)","(12.3821, -4.3316)"
1.240000000000000036e+01,"(13.8531, 0.8351)","(7.0837, -5.1654)"
1.250000000000000000e+01,"(21.5899, 0.883)","(10.3937, -9.0934)"
1.260000000000000142e+01,"(16.2025, -0.7648)","(18.0251, -16.2267)"
1.270000000000000107e+01,"(6.7683, -1.2515)","(14.8237, -15.5765)"
1.280000000000000071e+01,"(2.3735, -0.4883)","(5.4916, -7.6256)"
1.290000000000000036e+01,"(1.4617, -0.0577)","(3.2759, -3.7608)"
1.300000000000000000e+01,"(2.5041, 0.1226)","(6.5063, -5.8556)"
1.310000000000000142e+01,"(5.3451, 0.3557)","(15.6709, -13.5923)"
1.320000000000000107e+01,"(12.0861, 0.8477)","(21.9982, -20.7785)"
1.330000000000000071e+01,"(23.0959, 1.3042)","(6.8962, -10.5829)"
1.340000000000000036e+01,"(19.4323, -0.6577)","(1.4734, -3.9378)"
1.350000000000000000e+01,"(7.229, -1.8888)","(0.3604, -2.8968)"
1.360000000000000142e+01,"(2.5018, -1.3688)","(0.5578, -6.8169)"
1.370000000000000107e+01,"(2.2835, -1.9187)","(1.6807, -19.9886)"
1.380000000000000071e+01,"(3.8805, -3.4446)","(1.5843, -36.1503)"
1.390000000000000036e+01,"(7.7248, -6.8116)","(-4.1349, -13.5034)"
1.400000000000000000e+01,"(14.3187, -12.7944)","(-5.0493, -7.2337)"
1.410000000000000142e+01,"(14.9258, -14.8077)","(-8.6314, -9.901)"
1.420000000000000107e+01,"(6.0988, -8.1348)","(-15.5845, -17.3734)"
1.430000000000000071e+01,"(1.8236, -3.1013)","(-16.1685, -15.76)"
1.440000000000000036e+01,"(0.5196, -0.8578)","(-8.2336, -6.0498)"
1.450000000000000000e+01,"(0.4219, -0.4415)","(-3.9519, -3.3546)"
1.460000000000000142e+01,"(0.9072, -0.807)","(-5.6723, -6.2462)"
1.470000000000000107e+01,"(2.1267, -1.8423)","(-12.9611, -14.923)"
1.480000000000000071e+01,"(5.31, -4.5598)","(-20.7639, -22.2304)"
1.490000000000000036e+01,"(12.925, -11.1488)","(-11.0641, -7.5652)"
1.500000000000000000e+01,"(19.8798, -18.397)","(-4.0848, -1.6741)"
1.510000000000000142e+01,"(7.7565, -10.6318)","(-2.2646, -0.3439)"
1.520000000000000107e+01,"(1.7418, -5.1145)","(-4.9855, -0.4152)"
1.530000000000000071e+01,"(0.4752, -4.8226)","(-15.0427, -1.2977)"
1.540000000000000036e+01,"(0.3723, -7.2322)","(-36.5907, -2.4883)"
1.550000000000000000e+01,"(0.6244, -12.166)","(-17.404, 3.397)"
1.560000000000000142e+01,"(0.7411, -18.4512)","(-8.5247, 5.3766)"
1.570000000000000107e+01,"(-0.2174, -17.2754)","(-9.712, 8.3921)"
1.580000000000000071e+01,"(-0.9565, -9.4844)","(-16.0433, 14.4491)"
1.590000000000000036e+01,"(-0.4966, -4.9615)","(-16.1349, 16.1354)"
1.600000000000000000e+01,"(-0.0228, -4.554)","(-7.3152, 9.221)"
