time,A,B
7.900000000000000355e+00,"(-12.5456, 10.5081)","(2.9311, -16.1)"
8.000000000000000000e+00,"(-29.1021, 25.5574)","(6.5173, -38.1789)"
8.099999999999999645e+00,"(-8.51, 14.4486)","(0.3268, -16.7655)"
8.200000000000001066e+00,"(-2.0329, 10.9763)","(-1.611, -11.0461)"
8.300000000000000711e+00,"(-0.9626, 15.0431)","(-3.0084, -14.7705)"
8.400000000000000355e+00,"(-0.9085, 22.3695)","(-4.7085, -21.8871)"
8.500000000000000000e+00,"(0.4521, 19.4539)","(-4.662, -18.8925)"
8.599999999999999645e+00,"(1.0041, 10.6321)","(-2.9032, -10.2773)"
8.700000000000001066e+00,"(0.1465, 8.6081)","(-2.0382, -8.3647)"
8.800000000000000711e+00,"(-0.6804, 14.2783)","(-2.9602, -13.9847)"
8.900000000000000355e+00,"(-1.1737, 24.4967)","(-5.0757, -23.9937)"
9.000000000000000000e+00,"(0.6802, 20.4586)","(-4.9977, -19.8504)"
9.099999999999999645e+00,"(1.3949, 8.9426)","(-2.7076, -8.6363)"
9.200000000000001066e+00,"(0.2608, 5.4455)","(-1.3674, -5.2776)"
9.300000000000000711e+00,"(-0.5538, 10.0269)","(-2.0447, -9.832)"
9.400000000000000355e+00,"(-1.5534, 22.7708)","(-4.5108, -22.3738)"
9.500000000000000000e+00,"(-0.298, 28.0016)","(-6.2747, -27.2907)"
9.600000000000001421e+00,"(2.4953, 10.774)","(-3.6683, -10.4329)"
9.700000000000001066e+00,"(1.2982, 3.0732)","(-1.3575, -3.0473)"
9.800000000000000711e+00,"(0.9342, 1.2808)","(-0.7978, -1.3694)"
9.900000000000000355e+00,"(2.3084, 2.7409)","(-1.9041, -3.0344)"
1.000000000000000000e+01,"(7.3408, 8.7766)","(-6.0642, -9.6987)"
1.010000000000000142e+01,"(21.9895, 25.8756)","(-18.1059, -28.7215)"
1.020000000000000107e+01,"(17.9696, 14.6348)","(-14.0022, -18.4758)"
1.030000000000000071e+01,"(11.9695, 3.082)","(-9.2999, -8.1438)"
1.040000000000000036e+01,"(13.9705, 1.06)","(-11.2693, -8.3248)"
1.050000000000000000e+01,"(20.7344, 0.9086)","(-16.876, -12.0787)"
1.060000000000000142e+01,"(20.7273, -0.0886)","(-17.1233, -11.6793)"
1.070000000000000107e+01,"(12.3903, -0.9689)","(-10.505, -6.6431)"
1.080000000000000071e+01,"(9.1326, -0.2921)","(-7.6161, -5.0505)"
1.090000000000000036e+01,"(13.3854, 0.5167)","(-10.9124, -7.7699)"
1.100000000000000000e+01,"(22.6038, 1.07)","(-18.379, -13.2003)"
1.110000000000000142e+01,"(21.7437, -0.2754)","(-18.0119, -12.1813)"
1.120000000000000107e+01,"(10.6616, -1.3271)","(-9.2028, -5.5457)"
1.130000000000000071e+01,"(6.5914, -0.3464)","(-5.5374, -3.5956)"
1.140000000000000036e+01,"(10.7953, 0.5125)","(-8.7799, -6.3068)"
1.150000000000000000e+01,"(22.4436, 1.4025)","(-18.1728, -13.249)"
1.160000000000000142e+01,"(26.2696, 0.1861)","(-21.6193, -14.9152)"
1.170000000000000107e+01,"(10.9159, -2.0633)","(-9.6791, -5.4484)"
1.180000000000000071e+01,"(3.4547, -0.814)","(-3.1291, -1.6763)"
1.190000000000000036e+01,"(2.8213, 0.0315)","(-2.3245, -1.6106)"
1.200000000000000000e+01,"(7.561, 0.5816)","(-6.111, -4.5189)"
1.210000000000000142e+01,"(22.1933, 1.8445)","(-17.8988, -13.3155)"
1.220000000000000107e+01,"(34.6697, 1.0262)","(-28.3088, -19.9711)"
1.230000000000000071e+01,"(12.3821, -4.3316)","(-11.8396, -5.6028)"
1.240000000000000036e+01,"(7.0837, -5.1654)","(-8.3571, -2.6218)"
1.250000000000000000e+01,"(10.3937, -9.0934)","(-13.3374, -3.5817)"
1.260000000000000142e+01,"(18.0251, -16.2267)","(-23.4764, -6.1372)"
1.270000000000000107e+01,"(14.8237, -15.5765)","(-20.988, -4.6781)"
1.280000000000000071e+01,"(5.4916, -7.6256)","(-9.2757, -1.4488)"
1.290000000000000036e+01,"(3.2759, -3.7608)","(-4.8753, -0.9806)"
1.300000000000000000e+01,"(6.5063, -5.8556)","(-8.4455, -2.2084)"
1.310000000000000142e+01,"(15.6709, -13.5923)","(-19.9926, -5.4129)"
1.320000000000000107e+01,"(21.9982, -20.7785)","(-29.4017, -7.3369)"
1.330000000000000071e+01,"(6.8962, -10.5829)","(-12.5455, -1.6813)"
1.340000000000000036e+01,"(1.4734, -3.9378)","(-4.2227, -0.1239)"
1.350000000000000000e+01,"(0.3604, -2.8968)","(-2.9565, 0.2392)"
1.360000000000000142e+01,"(0.5578, -6.8169)","(-6.9201, 0.6959)"
1.370000000000000107e+01,"(1.6807, -19.9886)","(-20.2285, 2.0137)"
1.380000000000000071e+01,"(1.5843, -36.1503)","(-35.7247, 4.2636)"
1.390000000000000036e+01,"(-4.1349, -13.5034)","(-13.4214, 3.863)"
1.400000000000000000e+01,"(-5.0493, -7.2337)","(-7.9573, 3.612)"
1.410000000000000142e+01,"(-8.6314, -9.901)","(-11.648, 6.0049)"
1.420000000000000107e+01,"(-15.5845, -17.3734)","(-20.7389, 10.8636)"
1.430000000000000071e+01,"(-16.1685, -15.76)","(-19.7066, 11.1353)"
1.440000000000000036e+01,"(-8.2336, -6.0498)","(-8.4971, 5.5776)"
1.450000000000000000e+01,"(-3.9519, -3.3546)","(-4.321, 2.6375)"
1.460000000000000142e+01,"(-5.6723, -6.2462)","(-7.2722, 3.8375)"
1.470000000000000107e+01,"(-12.9611, -14.923)","(-17.2983, 8.8929)"
1.480000000000000071e+01,"(-20.7639, -22.2304)","(-27.1152, 14.4986)"
1.490000000000000036e+01,"(-11.0641, -7.5652)","(-11.3278, 7.6603)"
1.500000000000000000e+01,"(-4.0848, -1.6741)","(-3.5119, 2.9531)"
1.510000000000000142e+01,"(-2.2646, -0.3439)","(-1.8389, 1.9397)"
1.520000000000000107e+01,"(-4.9855, -0.4152)","(-3.9753, 4.428)"
1.530000000000000071e+01,"(-15.0427, -1.2977)","(-11.7475, 13.0522)"
1.540000000000000036e+01,"(-36.5907, -2.4883)","(-24.3084, 27.7279)"
1.550000000000000000e+01,"(-17.404, 3.397)","(-8.5145, 13.0711)"
1.560000000000000142e+01,"(-8.5247, 5.3766)","(-3.7114, 8.3449)"
1.570000000000000107e+01,"(-9.712, 8.3921)","(-4.3949, 11.7891)"
1.580000000000000071e+01,"(-16.0433, 14.4491)","(-7.6233, 20.9286)"
1.590000000000000036e+01,"(-16.1349, 16.1354)","(-7.4124, 22.1853)"
1.600000000000000000e+01,"(-7.3152, 9.221)","(-2.8609, 10.7968)"
1.610000000000000142e+01,"(-4.4079, 5.057)","(-1.5625, 5.3989)"
1.619999999999999929e+01,"(-7.3894, 6.799)","(-2.8527, 7.9713)"
1.630000000000000071e+01,"(-15.7148, 13.856)","(-6.709, 18.0638)"
1.640000000000000213e+01,"(-19.6893, 18.9388)","(-9.99, 28.2284)"
1.650000000000000000e+01,"(-7.2043, 10.0609)","(-3.3596, 13.4335)"
1.660000000000000142e+01,"(-2.1556, 3.5037)","(-0.7057, 4.43)"
1.669999999999999929e+01,"(-2.0034, 2.0156)","(-0.0906, 1.2435)"
1.680000000000000071e+01,"(-5.5787, 4.8036)","(0.004, 1.8186)"
1.690000000000000213e+01,"(-16.2834, 13.8)","(0.0251, 5.5798)"
1.700000000000000000e+01,"(-25.5652, 23.833)","(0.063, 19.3925)"
1.710000000000000142e+01,"(-6.0754, 11.8743)","(0.8608, 40.864)"
1.719999999999999929e+01,"(-1.4101, 8.176)","(3.4964, 15.9535)"
1.730000000000000071e+01,"(-0.8818, 12.7406)","(4.6356, 12.5478)"
1.740000000000000213e+01,"(-1.3384, 23.5438)","(6.916, 16.711)"
1.750000000000000000e+01,"(0.2663, 23.2141)","(8.3233, 19.2321)"
1.760000000000000142e+01,"(1.6824, 9.9436)","(6.4813, 13.8837)"
1.769999999999999929e+01,"(0.4827, 4.4184)","(4.5425, 9.7438)"
1.780000000000000071e+01,"(-0.3181, 6.8733)","(4.9969, 11.6125)"
1.790000000000000213e+01,"(-1.2611, 17.0519)","(7.5813, 18.1196)"
1.800000000000000000e+01,"(-1.646, 32.099)","(8.8776, 20.3278)"
1.810000000000000142e+01,"(2.4705, 15.6956)","(5.9784, 12.3445)"
1.819999999999999929e+01,"(2.4796, 5.3384)","(3.7601, 7.9589)"
1.830000000000000071e+01,"(2.8674, 3.6216)","(4.5609, 10.7573)"
1.840000000000000213e+01,"(6.6065, 7.7162)","(7.9569, 19.2824)"
1.850000000000000000e+01,"(16.6892, 19.3963)","(9.6594, 22.1349)"
1.860000000000000142e+01,"(20.1448, 19.9222)","(5.6636, 11.1239)"
1.869999999999999929e+01,"(9.322, 4.5427)","(2.7771, 5.5897)"
1.880000000000000071e+01,"(5.4478, 0.9812)","(3.2886, 7.8003)"
1.890000000000000213e+01,"(9.243, 0.7033)","(6.9581, 17.1847)"
1.900000000000000000e+01,"(21.2947, 1.5303)","(11.3611, 27.0244)"
1.910000000000000142e+01,"(29.8197, 0.7287)","(6.7736, 12.9314)"
