time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,D_x,D_y,D_z,E_x,E_y,E_z,F_x,F_y,F_z,G_x,G_y,G_z,H_x,H_y,H_z,I_x,I_y,I_z
3.8,5.389369,-12.776807,18.72619,16.276494,1.5593793,29.356846,17.289947,-1.5262513,27.91962,15.903204,-6.9300238,24.175562,17.183961,-3.8949352,26.376469,12.429745,-10.349958,21.471565,-5.6761263,-8.9073783,16.609117,15.694588,2.5625198,29.537509,16.867342,0.2422659,28.865238
4,2.5163196,-15.314688,35.391744,8.5261019,0.33051477,28.781641,8.6126068,-1.6894315,30.229263,8.6509993,-5.8635453,32.851908,8.7287888,-3.339735,31.388156,7.5329817,-9.8285892,34.448654,-13.654736,-14.17486,33.32052,8.5787425,1.0243424,28.408208,8.5322334,-0.53642294,29.373943
4.2,0.084834079,-4.1078924,25.020779,9.2455434,1.0099081,21.712517,7.649404,-0.69652944,21.385633,4.9720781,-2.583875,22.110274,6.4588257,-1.6325505,21.558076,3.0490053,-3.5143418,23.192397,-4.5685096,-0.68699019,27.99106,9.6837763,1.7281174,22.025714,8.5739058,0.19425394,21.471348
4.4,2.8539836,-6.8578921,16.583478,16.678819,1.8060945,27.048734,16.637178,-1.1814133,24.122855,12.730813,-5.2879007,19.496083,15.391474,-3.1926408,21.888814,8.4460557,-6.8672167,17.52262,-2.4249121,-3.2701826,17.095996,16.225022,2.8165106,27.742361,16.91957,0.49490856,25.867291
4.6,7.4289884,-19.466761,26.261187,9.5954251,0.31306422,30.570153,10.810184,-2.046902,32.645161,13.272151,-7.6775102,34.68175,11.94317,-4.1806284,33.926664,13.444001,-13.326009,33.059837,-8.0018709,-13.319418,16.396217,9.3670507,1.0573033,29.935286,10.046941,-0.66186367,31.475272
4.8,-1.1403418,-7.1683029,32.198642,7.8523661,0.77941214,22.177836,6.135425,-0.73576308,22.707235,3.9521663,-2.6351056,25.195161,5.0763427,-1.5825987,23.606587,2.5169197,-4.3579652,27.828488,-12.707154,-6.4760904,38.172734,8.4262353,1.446964,22.272089,7.0792927,0.046206346,22.28258
5,0.63641096,-2.533271,19.292216,15.921177,1.8849718,24.112546,13.938566,-0.85000169,20.480997,7.9819607,-3.3279987,17.470714,11.437752,-2.2908311,18.629742,4.1161533,-3.5222985,17.547404,-1.5992011,0.45777042,23.515302,15.935169,2.9101846,25.313763,15.362685,0.61291874,22.445342
5.2,3.9064092,-8.47741,13.546723,11.510828,0.44648393,32.364276,14.618926,-2.2066494,33.99657,18.379425,-8.3728281,28.750115,17.060763,-4.7090305,33.230092,14.018343,-11.306106,20.112308,-0.52402402,-0.74947227,13.806084,10.784058,1.2290831,31.545815,12.731945,-0.62026684,33.314485
5.4,6.6695069,-21.350211,33.556519,6.7018543,0.53928922,23.310699,5.3292761,-0.94284065,25.144578,5.1280299,-4.2574867,30.612319,4.9475411,-2.065875,27.200129,5.9365726,-9.3623448,35.906623,-2.3201982,-4.385523,8.5939557,7.3127223,1.1658854,23.05232,5.9960021,-0.14935057,23.944436
5.6,-1.8619312,-3.4655749,28.72111,13.849082,1.7260694,21.315326,9.9682148,-0.60150332,18.480812,3.8302651,-1.7997704,18.933732,6.9577324,-1.462812,18.0263,1.2111954,-1.7545549,21.831985,-13.137057,-21.69258,21.380701,14.593772,2.7605887,22.722383,12.337167,0.54996067,19.760668
