time,z
0,49.945708
0.2,29.421626
0.4,18.544907
0.6,20.311278
0.8,35.667948
1,22.260889
1.2,14.606296
1.4,27.179564
1.6,31.830664
1.8,18.48639
2,10.92752
2.2,8.8851503
2.4,41.679854
2.6,26.368405
2.8,18.347982
3,29.821563
3.2,29.76719
3.4,19.036207
3.6,20.072385
3.8,35.711151
4,22.679405
4.2,15.0786
4.4,28.057429
4.6,31.328239
4.8,18.323734
5,11.267362
5.2,19.148016
5.4,36.173719
5.6,20.598045
5.8,15.70556
6,35.547394
6.2,26.835785
6.4,15.982055
6.6,12.603157
6.8,38.837646
7,26.078821
7.2,15.532391
7.4,14.539048
7.6,39.473849
7.8,23.849829
8,14.171257
8.2,12.732901
8.4,40.55787
8.6,24.480827
8.8,15.211588
9,21.544536
9.2,35.043626
9.4,20.341604
9.6,11.945132
9.8,7.3847935
10,19.350028
10.2,35.411746
10.4,21.344855
10.6,22.9832
10.8,33.464032
11,22.868852
11.2,19.04577
11.4,34.124051
11.6,26.154779
11.8,17.751675
12,26.868069
12.2,31.702098
12.4,19.620882
12.6,16.362739
12.8,36.819335
13,25.380158
13.2,15.258203
13.4,14.192371
13.6,39.690355
13.8,23.960808
14,14.33338
14.2,14.435643
14.4,39.775445
14.6,23.285067
14.8,14.280547
15,19.324823
15.2,36.420421
15.4,20.896639
15.6,12.506458
15.8,13.504553
16,40.468037
16.2,23.107712
16.4,15.501212
16.6,29.432164
16.8,30.542448
17,18.017504
17.2,11.929035
17.4,29.971707
17.6,30.655449
17.8,17.848683
18,13.493405
18.2,37.075809
18.4,26.791931
18.6,15.651896
18.8,9.9786484
19,25.891323
19.2,32.512486
19.4,19.232429
19.6,18.653667
19.8,36.483418
20,23.435474
20.2,14.838376
20.4,22.740638
20.6,34.304694
20.8,19.850778
21,11.645301
21.2,6.9029531
21.4,7.6659689
21.6,44.594087
21.8,25.238165
22,21.471
22.2,32.453254
22.4,26.173707
22.6,20.225835
22.8,30.451541
23,28.658092
23.2,20.129709
23.4,25.831488
23.6,31.896546
23.8,21.323945
24,20.422447
24.2,34.779866
24.4,24.074925
24.6,17.385535
24.8,31.233356
25,29.098995
25.2,18.13432
25.4,18.280375
25.6,36.93242
25.8,23.025855
26,14.076053
26.2,17.483564
26.4,37.667724
26.6,21.591328
26.8,13.149632
27,17.744049
27.2,37.38753
27.4,21.252504
27.6,13.631319
27.8,25.970432
28,32.499963
28.2,18.711698
28.4,11.225428
28.6,13.595847
28.8,40.26076
29,22.692222
29.2,16.602297
29.4,33.356783
29.6,27.981139
29.8,17.072011
30,16.261083
30.2,38.243157
30.4,23.588813
30.6,13.839108
30.8,8.4533854
31,17.149364
31.2,36.923489
31.4,21.475587
31.6,20.73391
31.8,34.695633
32,23.846441
32.2,17.453784
32.4,31.808248
32.6,28.706983
32.8,17.974627
33,18.944351
33.2,36.578722
33.4,22.592074
33.6,13.954674
33.8,19.397793
34,36.345523
34.2,20.794839
34.4,12.606549
34.6,16.62396
34.8,38.120485
35,21.597796
35.2,14.434573
35.4,29.768738
35.6,30.500436
35.8,17.742392
36,10.512152
36.2,9.4324199
36.4,42.734512
36.6,25.356337
36.8,18.285319
37,31.374908
37.2,28.750205
37.4,18.518381
37.6,21.362871
37.8,35.011674
38,21.833135
38.2,14.928671
38.4,30.537303
38.6,30.026409
38.8,17.58903
39,10.98814
39.2,22.270826
39.4,34.325165
39.6,19.776528
39.8,16.01144
40,36.72407
40.2,25.726516
40.4,15.358041
40.6,12.885806
40.8,39.750809
41,25.194452
41.2,15.149077
41.4,16.095931
41.6,38.658993
41.8,22.659012
42,13.453339
42.2,11.978705
42.4,41.024599
42.6,24.706603
42.8,15.784339
43,24.927802
43.2,33.023634
43.4,19.413002
43.6,12.061889
43.8,21.065103
44,35.108831
