time,z
0,39.620964
0.2,24.334207
0.4,14.259036
0.6,8.3896638
0.8,5.9938686
1,36.30092
1.2,29.238454
1.4,20.82325
1.6,29.166376
1.8,29.44336
2,20.848255
2.2,25.133855
2.4,32.158546
2.6,22.021155
2.8,20.821712
3,34.260963
3.2,24.419797
3.4,18.218152
3.6,31.725096
3.8,28.507939
4,18.39196
4.2,21.665038
4.4,34.839018
4.6,21.646604
4.8,14.88016
5,30.973423
5.2,29.802053
5.4,17.455466
5.6,10.893755
5.8,22.099129
6,34.4081
6.2,19.831525
6.4,16.218189
6.6,36.731873
6.8,25.579694
7,15.336826
7.2,13.696638
7.4,39.799697
7.6,24.411582
7.8,14.620038
8,14.896624
8.2,39.464102
8.4,23.126166
8.6,14.01442
8.8,17.002061
9,38.004548
9.2,21.783016
9.4,13.346506
9.6,18.973104
9.8,36.5675
10,20.825486
10.2,13.119275
10.4,23.66389
10.6,33.718717
10.8,19.318433
11,12.172653
11.2,23.855757
11.4,33.572556
11.6,19.266224
11.8,13.509784
12,33.752503
12.2,28.631857
12.4,16.644119
12.6,9.9964139
12.8,13.429593
13,40.141982
13.2,22.575986
13.4,18.097689
13.6,34.651051
13.8,26.292204
14,17.00553
14.2,23.427522
14.4,33.857479
14.6,20.348664
14.8,13.533467
15,29.387759
15.2,30.78586
15.4,17.803859
15.6,10.643831
15.8,12.393191
16,41.163156
16.2,23.190318
16.4,17.446919
16.6,33.594177
16.8,27.489196
17,17.281314
17.2,19.985251
17.4,36.009228
17.6,21.754404
17.8,13.413975
18,19.27308
18.2,36.375858
18.4,20.73094
18.6,12.974261
18.8,22.671668
19,34.261783
19.2,19.592883
19.4,12.552598
19.6,26.163961
19.8,32.410095
20,18.658455
20.2,12.489379
20.4,30.977663
20.6,30.143092
20.8,17.506069
21,12.054834
21.2,33.477503
21.4,29.071449
21.6,17.039768
21.8,13.328685
22,38.154528
22.2,26.162308
22.4,15.360128
22.6,10.99321
22.8,36.413054
23,27.999523
23.2,16.929767
23.4,18.511101
23.6,36.985789
23.8,22.224747
24,13.222693
24.2,11.582912
24.4,41.15618
24.6,24.940631
24.8,16.071597
25,25.736164
25.2,32.545343
25.4,19.25723
25.6,12.495487
25.8,27.402105
26,31.808832
26.2,18.35663
26.4,12.398982
26.6,31.80565
26.8,29.775458
27,17.329793
27.2,12.240583
27.4,34.99801
27.6,28.323643
27.8,16.631768
28,13.013037
28.2,38.394601
28.4,26.163279
28.6,15.43408
28.8,12.301757
29,39.319104
29.2,25.917564
29.4,15.61047
29.6,16.764147
29.8,38.198224
30,22.499737
30.2,13.226127
30.4,8.9287828
30.6,32.81718
30.8,29.838451
31,18.691099
31.2,23.460224
31.4,33.696695
31.6,21.112976
31.8,15.948886
32,34.739647
32.2,27.288028
32.4,16.365791
32.6,13.82669
32.8,39.132125
33,25.042267
33.2,14.756837
33.4,11.204153
33.6,38.760815
33.8,26.79162
34,16.425011
34.2,20.069274
34.4,35.998721
34.6,21.314509
34.8,12.737523
35,12.573084
35.2,41.064076
35.4,23.819639
35.6,15.734265
35.8,28.082618
36,31.254719
36.2,18.467626
36.4,12.227395
36.6,29.810291
36.8,30.702531
37,17.824285
37.2,12.733289
37.4,35.301094
37.6,28.043659
37.8,16.395022
38,11.528098
38.2,35.135191
38.4,28.43492
38.6,16.890837
38.8,15.672856
39,38.572841
39.2,23.849964
39.4,13.963496
39.6,8.1988479
39.8,5.1443534
40,20.029801
40.2,34.735511
40.4,22.32513
40.6,26.062779
40.8,31.146196
41,22.686253
41.2,23.313519
41.4,32.634119
41.6,23.960528
41.8,20.939932
42,32.944866
42.2,25.996272
42.4,19.597735
42.6,30.345484
42.8,28.988828
43,19.708116
43.2,24.279792
43.4,32.986272
43.6,21.508484
43.8,18.312154
44,35.315467
44.2,25.459949
44.4,16.592228
44.6,24.628649
44.8,33.156228
45,19.79432
45.2,13.174886
45.4,29.723253
45.6,30.657061
45.8,17.729737
46,10.953047
46.2,20.380162
46.4,35.377876
46.6,20.265781
46.8,16.175786
47,36.294797
47.2,26.001918
47.4,15.618453
47.6,14.049109
47.8,39.589507
48,24.30176
48.2,14.449326
48.4,13.128575
48.6,40.346344
48.8,24.313239
49,14.949152
49.2,19.912862
49.4,36.07463
49.6,20.856346
49.8,12.25204
50,7.9090848
50.2,27.366266
50.4,31.902527
50.6,19.948841
50.8,23.975651
51,33.172085
51.2,21.659743
51.4,18.175803
51.6,35.193958
51.8,25.692228
52,16.661193
52.2,24.050506
52.4,33.498026
52.6,20.004386
52.8,13.168909
53,28.620731
53.2,31.189348
53.4,18.00944
53.6,11.14291
53.8,20.699336
54,35.216171
54.2,20.164589
54.4,15.792216
54.6,36.193977
54.8,26.305204
55,15.670554
55.2,12.571917
55.4,39.233014
55.6,25.819739
55.8,15.458214
56,15.509204
56.2,38.996627
56.4,23.150771
56.6,13.705642
56.8,11.404306
57,40.680767
57.2,25.491308
57.4,16.125069
57.6,23.822815
57.8,33.660307
58,19.866487
58.2,12.403704
58.4,21.831364
58.6,34.697052
58.8,19.812902
59,13.469025
59.2,31.706652
59.4,29.66145
59.6,17.200696
59.8,10.324082
60,13.382436
60.2,40.260038
60.4,22.635584
60.6,17.681659
60.8,34.439738
61,26.715621
61.2,16.973238
61.4,21.491814
61.6,35.065327
61.8,21.013768
62,13.208
62.2,22.611635
62.4,34.310189
62.6,19.627033
62.8,12.30465
63,23.027718
63.2,34.021694
63.4,19.480504
63.6,13.4164
63.8,32.675106
64,29.193643
64.2,16.948431
64.4,10.23756
64.6,15.064476
64.8,38.853434
65,21.939465
65.2,17.671897
65.4,35.145836
65.6,26.102329
65.8,16.556737
66,21.661964
66.2,34.972097
66.4,20.775538
66.6,12.810879
66.8,19.453345
67,36.189962
67.2,20.578359
67.4,13.476757
67.6,28.384303
67.8,31.285577
68,18.065592
68.2,10.876748
68.4,14.424592
68.6,39.512779
68.8,22.248249
69,16.863042
69.2,34.35052
69.4,27.184926
69.6,16.743558
69.8,17.712801
70,37.49712
70.2,22.557167
70.4,13.299665
70.6,9.3118671
70.8,35.674462
71,28.719935
71.2,18.116065
71.4,23.809925
71.6,33.543711
71.8,20.702903
72,15.234169
72.2,34.426677
72.4,27.760052
72.6,16.39622
72.8,11.394677
73,34.361616
73.2,28.807905
73.4,17.102445
73.6,15.866337
73.8,38.423032
74,23.845516
74.2,13.969658
74.4,8.2643712
74.6,7.828023
74.8,44.007669
75,25.687221
75.2,20.244519
75.4,32.228377
75.6,27.226502
75.8,19.458719
76,27.909268
76.2,30.705089
76.4,20.304
76.6,21.250558
76.8,34.710845
77,22.977902
77.2,16.916195
77.4,32.693379
77.6,28.29922
77.8,17.436175
78,17.389328
78.2,37.576402
78.4,23.111545
78.6,13.72528
78.8,11.30295
79,40.578003
79.2,25.63472
79.4,16.197613
79.6,23.69909
79.8,33.73216
80,19.930958
80.2,12.478077
80.4,22.272774
80.6,34.452074
80.8,19.688633
81,13.275803
81.2,31.179867
81.4,29.946385
81.6,17.352481
81.8,10.613831
82,18.209604
82.2,36.668831
82.4,20.900273
82.6,16.911196
82.8,35.925504
83,25.869402
83.2,15.896758
83.4,17.769143
83.6,37.520721
83.8,22.12729
84,12.968469
84.2,7.6084194
84.4,4.4903376
84.6,4.4862115
84.8,45.046004
85,27.309974
85.2,23.113944
85.4,30.667549
85.6,26.838543
85.8,22.36628
86,29.835363
86.2,28.072462
86.4,22.06254
86.6,28.245817
86.8,29.537974
87,22.187788
87.2,25.96724
87.4,31.136706
87.6,22.820273
87.8,23.384104
88,32.52942
88.2,24.045376
88.4,21.120126
88.6,32.829095
88.8,25.981028
89,19.790451
89.2,30.504111
89.4,28.798255
89.6,19.79537
89.8,24.929871
90,32.554673
90.2,21.364916
90.4,19.008477
90.6,35.295127
90.8,24.878282
91,16.716436
91.2,27.303346
91.4,31.580509
91.6,19.034149
91.8,14.160239
92,35.84761
92.2,27.275283
92.4,15.912762
92.6,9.3415029
92.8,5.7253192
93,15.90363
93.2,37.0656
93.4,22.578425
93.6,24.534471
93.8,32.092753
94,23.240378
94.2,21.7894
94.4,33.146046
94.6,24.976368
94.8,19.885252
95,31.947073
95.2,27.622555
95.4,19.367548
95.6,26.895719
95.8,31.387
96,20.526017
96.2,20.036787
96.4,35.296738
96.6,23.680143
96.8,16.481416
97,30.161859
97.2,29.963185
97.4,18.099565
97.6,14.653813
97.8,37.779276
98,25.676579
98.2,15.013726
98.4,8.8287228
98.6,6.0399402
98.8,32.882876
99,30.213274
99.2,20.846942
99.4,28.213871
99.6,30.130971
99.8,21.098861
100,23.99689
100.2,32.815606
100.4,22.537433
100.6,20.013877
100.8,34.25351
101,25.254135
101.2,18.057857
101.4,29.872854
101.6,29.787449
101.8,18.897095
102,19.449472
102.2,36.102578
102.4,22.887988
102.6,14.795512
102.8,25.383608
103,32.793086
103.2,19.034534
103.4,11.237788
103.6,8.6474484
103.8,40.339095
104,27.096045
104.2,18.439124
104.4,28.689486
104.6,30.471122
104.8,19.415212
105,19.287805
105.2,36.055108
105.4,23.298036
105.6,15.220901
105.8,26.194837
106,32.330054
106.2,18.890755
106.4,11.481669
106.6,16.571057
106.8,37.971594
107,21.459708
107.2,15.73773
107.4,34.185571
107.6,27.743973
107.8,16.548799
108,12.986538
108.2,38.437062
108.4,26.146293
108.6,15.433142
108.8,12.441221
109,39.447378
109.2,25.743477
109.4,15.496427
109.6,16.567882
109.8,38.332394
110,22.554214
110.2,13.284603
110.4,9.5964201
110.6,37.471643
110.8,27.946916
111,17.730879
111.2,24.215053
111.4,33.330389
111.6,20.387102
111.8,14.788411
112,34.20958
112.2,28.03519
112.4,16.44429
112.6,10.392539
112.8,24.353346
113,33.232253
113.2,19.417095
113.4,17.423127
113.6,36.922055
113.8,24.310198
114,14.91416
114.2,17.875937
114.4,37.444132
114.6,21.688696
114.8,12.827546
115,10.454556
115.2,40.932611
115.4,25.919845
115.6,16.889711
115.8,26.504646
116,32.035143
116.2,19.320601
