time,y
0,1.9667703
0.2,14.403187
0.4,16.039371
0.6,4.6854946
0.8,9.4296648
1,10.855883
1.2,4.3111113
1.4,7.3747776
1.6,12.96855
1.8,4.7164105
2,5.2923688
2.2,13.040884
2.4,6.5702909
2.6,3.5587374
2.8,9.8144772
3,11.164907
3.2,2.7434112
3.4,5.2391342
3.6,15.045377
3.8,4.712136
4,1.8128951
4.2,6.6970626
4.4,16.268504
4.6,2.17728
4.8,0.12620389
5,0.33575339
5.2,2.1313236
5.4,0.20109096
5.6,-2.2387442
5.8,-5.8524429
6,-10.49374
6.2,-3.7225525
6.4,-3.6189895
6.6,-10.14973
6.8,-6.3020046
7,-2.0524803
7.2,-5.500821
7.4,-11.64995
7.6,-2.8774777
7.8,-1.2720508
8,-5.2896703
8.2,-12.707703
8.4,-2.6907107
8.6,-3.1616284
8.8,-13.215218
9,-16.184701
9.2,-1.9479368
9.4,-1.865617
9.6,-9.2867575
9.8,-20.769171
10,-2.3643279
10.2,-2.6842976
10.4,-8.8400833
10.6,-3.1533092
10.8,-0.66127525
11,-2.4807908
11.2,-10.194926
11.4,-2.017077
11.6,0.26999573
11.8,1.2743459
12,5.0833002
12.2,3.0510201
12.4,1.4340617
12.6,5.5265856
12.8,19.277471
13,5.1433948
13.2,2.3280213
13.4,9.1011499
13.6,22.971103
13.8,3.6098419
14,1.4816648
14.2,6.3861526
14.4,17.447235
14.6,1.8145327
14.8,0.52201995
15,2.0221736
15.2,0.58996446
15.4,-0.35798935
15.6,-0.041575778
15.8,-0.18150451
16,-1.2944549
16.2,-9.9064185
16.4,-8.732642
16.6,-7.4070551
16.8,-14.120263
17,-12.327473
17.2,-7.2392529
17.4,-12.722363
17.6,-14.182395
17.8,-6.955368
18,-10.869708
18.2,-16.054381
18.4,-7.2492696
18.6,-8.8318831
18.8,-17.021985
19,-8.4897816
19.2,-6.902761
19.4,-15.877604
19.6,-11.186218
19.8,-5.4121956
20,-12.395429
20.2,-15.71035
20.4,-4.9804679
20.6,-7.9398564
20.8,-19.119788
21,-7.1650208
21.2,-4.1904479
21.4,-13.448628
21.6,-15.321988
21.8,-2.7864571
22,-4.0548116
22.2,-16.960568
22.4,-11.688987
22.6,-1.2784631
22.8,-2.2930969
23,-12.021595
23.2,-16.258675
23.4,-1.9052282
23.6,-3.4004432
23.8,-9.5596408
24,-2.0800464
24.2,-0.91198341
24.4,-3.7979428
24.6,-10.55908
24.8,-0.85551095
25,0.27188612
25.2,1.2658369
25.4,5.4018122
25.6,3.048313
25.8,2.8331652
26,10.128382
26.2,14.730399
26.4,2.3699889
26.6,1.2551459
26.8,6.0920943
27,20.502757
27.2,4.4898182
27.4,5.3366941
27.6,17.419753
27.8,11.505276
28,2.3281014
28.2,5.8712589
28.4,21.8966
28.6,7.4297342
28.8,0.75084182
29,2.0216929
29.2,11.253183
29.4,9.9361247
29.6,0.79895187
29.8,1.2727271
30,2.1403864
30.2,-0.2920599
30.4,0.42074059
30.6,1.9813069
30.8,0.66388588
31,-0.28238428
31.2,0.16104997
31.4,1.0153307
31.6,3.3016549
31.8,-1.4362273
32,-3.078684
32.2,-9.2935995
32.4,-7.3623293
32.6,-1.9476458
32.8,-4.4299709
33,-12.142569
33.2,-3.8604363
33.4,-0.84160027
33.6,-3.1120591
33.8,-13.067974
34,-4.9342672
34.2,-3.3222735
34.4,-11.671023
34.6,-17.878439
34.8,-2.8095964
35,-1.4938237
35.2,-7.2203115
35.4,-24.476195
35.6,-4.7093411
35.8,-4.7355131
36,-15.708614
36.2,-10.650959
36.4,-1.9655788
36.6,-4.8467727
36.8,-19.393795
37,-7.2596254
37.2,-0.68652621
37.4,-1.6931806
37.6,-8.5916591
37.8,-3.5446493
38,0.44694409
38.2,1.8249771
38.4,5.1584325
38.6,2.1925908
38.8,0.46118885
39,1.5218161
39.2,5.636394
39.4,2.5475404
39.6,2.4838198
39.8,9.6430231
40,15.571744
40.2,2.3436802
40.4,0.55676194
40.6,2.6700063
40.8,16.890757
41,13.037453
41.2,4.031001
41.4,9.3863905
41.6,11.40697
41.8,3.4601656
42,6.1291994
42.2,14.337907
42.4,4.621317
42.6,3.2998787
42.8,10.77512
43,10.173483
43.2,1.8338147
43.4,3.7999588
43.6,14.660541
43.8,5.8553106
44,0.3647374
44.2,0.085255579
44.4,0.49505567
44.6,3.1524366
44.8,-1.4512057
45,-3.4095827
45.2,-8.0866109
45.4,-8.1329805
45.6,-3.4218691
45.8,-6.198619
46,-10.111787
46.2,-3.7530591
46.4,-4.1706835
46.6,-10.467075
46.8,-5.596955
47,-2.5759141
47.2,-7.1735593
47.4,-9.79491
47.6,-2.2727372
47.8,-2.8377615
48,-10.368028
48.2,-6.6678932
48.4,-0.71618063
48.6,-0.74619976
48.8,-4.1941381
49,-14.523733
49.2,-4.203001
49.4,-7.1604274
49.6,-18.263319
49.8,-8.6323797
50,-4.2437404
50.2,-12.471527
50.4,-16.381111
50.6,-3.4259352
50.8,-4.7152898
51,-17.838863
51.2,-10.565216
51.4,-1.0251326
51.6,-0.70572425
51.8,-4.0674699
52,-23.293158
52.2,-8.1261515
52.4,-6.1088499
52.6,-14.921723
52.8,-10.709848
53,-4.6058603
53.2,-10.920998
53.4,-15.968415
53.6,-4.3869895
53.8,-6.3115273
54,-18.028143
54.2,-7.5122993
54.4,-2.8620144
54.6,-9.375094
54.8,-19.100349
55,-3.126903
55.2,-1.1831437
55.4,-5.517335
55.6,-23.204409
55.8,-4.6931032
56,-2.0927405
56.2,-6.8018649
56.4,-5.766495
56.6,-0.80855198
56.8,-2.0022693
57,-8.5578033
57.2,-3.5982266
57.4,0.013650438
57.6,0.55416174
57.8,2.8004914
58,5.3354772
58.2,2.1725863
58.4,5.8033686
58.6,17.109704
58.8,6.1646234
59,1.5323648
59.2,5.3755097
59.4,19.236768
59.6,5.3159641
59.8,2.373734
60,9.1725272
60.2,22.832872
60.4,3.5981009
60.6,1.3338766
60.8,5.782691
61,18.116348
61.2,2.0914815
61.4,0.55792086
61.6,2.040163
61.8,0.54907675
62,-0.26843231
62.2,0.15983219
62.4,1.0087234
62.6,3.3245106
62.8,-1.461322
63,-3.1456201
63.2,-9.3576986
63.4,-7.2606979
63.6,-2.0148687
63.8,-4.6728405
64,-12.051922
64.2,-3.6426383
64.4,-1.0348695
64.6,-3.9739201
64.8,-13.487968
65,-3.7959402
65.2,-3.0231381
65.4,-11.700017
65.6,-18.118603
65.8,-2.4683168
66,-0.48566551
66.2,-2.2927827
66.4,-14.754236
66.6,-12.356255
66.8,-2.6550638
67,-5.7250145
67.2,-6.8597317
67.4,-1.965516
67.6,-3.7961604
67.8,-8.7412206
68,-2.4741746
68.2,-2.0874367
68.4,-6.8730783
68.6,-5.5893839
68.8,-1.0362944
69,-2.7429017
69.2,-9.6326187
69.4,-2.3767535
69.6,-0.21501735
69.8,-0.77908563
70,-4.6486947
70.2,-10.145321
70.4,0.22365541
70.6,1.762058
70.8,4.5381488
71,2.7671837
71.2,1.142331
71.4,3.0310391
71.6,4.5959348
71.8,1.1177897
72,1.137399
72.2,4.2163878
72.4,3.7034934
72.6,0.41651633
72.8,0.059028769
73,0.30634621
73.2,2.2218068
73.4,6.246709
73.6,4.6689604
73.8,9.643466
74,13.200985
74.2,5.9648518
74.4,7.8753748
74.6,14.380275
74.8,6.8390499
75,6.1152607
75.2,13.85594
75.4,8.9219582
75.6,4.6943121
75.8,11.07617
76,12.622421
76.2,4.1136843
76.4,7.1241537
76.6,16.153035
76.8,5.7138981
77,3.6819808
77.2,11.9725
77.4,12.264872
77.6,2.2272718
77.8,3.4913221
78,14.683377
78.2,9.7596492
78.4,1.3224157
78.6,3.2092741
78.8,16.133507
79,13.721649
79.2,2.2625332
79.4,5.5677279
79.6,16.041186
79.8,3.6388465
80,0.86726463
80.2,3.6081108
80.4,16.714999
80.6,4.4250834
80.8,0.55243844
81,1.5616301
81.2,1.6301207
81.4,-0.36174103
81.6,0.23969301
81.8,1.3988218
82,2.2482299
82.2,-0.99503583
82.4,-2.175764
82.6,-8.3768833
82.8,-8.8072368
83,-1.1764366
83.2,-0.27558796
83.4,-1.4353867
83.6,-9.3641594
83.8,-8.6681613
84,-5.5215527
84.2,-13.074476
84.4,-14.649513
84.6,-5.3838372
84.8,-9.39014
85,-18.285066
85.2,-6.4470965
85.4,-5.8407969
85.6,-16.753874
85.8,-10.956718
86,-3.426791
86.2,-8.9988911
86.4,-20.303636
86.6,-4.761046
86.8,-2.3058559
87,-9.5227585
87.2,-21.350201
87.4,-3.3111094
87.6,-2.3739806
87.8,-10.383786
88,-18.638898
88.2,-1.9873026
88.4,-1.5848315
88.6,-6.835433
88.8,-5.8686125
89,-0.085479138
89.2,0.54501824
89.4,2.5829061
89.6,5.4544292
89.8,1.8177929
90,4.3586419
90.2,15.837733
90.4,8.2799146
90.6,0.82614951
90.8,1.1007022
91,6.3354921
91.2,21.110703
91.4,4.8133878
91.6,7.6787282
91.8,19.066935
92,8.4596316
92.2,4.5749818
92.4,13.586115
92.6,16.048317
92.8,3.3893106
93,5.5344595
93.2,19.834578
93.4,9.1871533
93.6,1.0066253
93.8,2.119111
94,11.866458
94.2,19.956272
94.4,3.1454102
94.6,6.0690729
94.8,14.863823
95,4.213549
95.2,2.6222543
95.4,9.4568756
95.6,12.247026
95.8,1.5106782
96,1.4279982
96.2,7.0877006
96.4,16.76709
96.6,1.4215551
96.8,0.70117328
97,2.4410687
97.2,-0.14485707
97.4,-0.073004708
97.6,0.47123111
97.8,2.4446925
98,-0.25855571
98.2,-1.1540764
98.4,-3.7188288
98.6,-12.003701
98.8,-4.7117851
99,-0.49685829
99.2,-1.2597468
99.4,-7.2489226
99.6,-10.646574
99.8,-3.7771882
100,-9.3251314
100.2,-19.028153
100.4,-5.6746443
100.6,-4.6429589
100.8,-15.572858
101,-12.776114
101.2,-2.2276302
101.4,-4.3950973
101.6,-18.617507
101.8,-10.097197
102,-1.3976455
102.2,-3.811326
102.4,-17.908345
102.6,-8.9028099
102.8,-1.3044245
103,-3.5543981
103.2,-10.292245
103.4,-1.3259697
103.6,-0.060717408
103.8,-0.13175426
104,-0.87944678
104.2,-6.6754057
104.4,-5.84358
104.6,1.175916
104.8,2.9426813
105,4.0727465
105.2,2.0809162
105.4,2.5163334
105.6,4.3029243
105.8,2.3532467
106,2.0604239
106.2,4.1953122
106.4,2.9134234
106.6,1.6812216
106.8,3.6031476
107,3.765187
107.2,1.4871077
107.4,2.63584
107.6,4.6307877
107.8,1.7479687
108,1.6393156
108.2,4.4535845
108.4,3.0163011
108.6,0.95211761
108.8,2.4512321
109,5.1125639
109.2,1.4025033
109.4,0.5694747
109.6,2.3069589
109.8,5.5955229
110,1.6940059
110.2,3.048828
110.4,12.669573
110.6,11.863829
110.8,1.4466845
111,1.8854956
111.2,9.8660749
111.4,23.165211
111.6,3.3226786
111.8,4.8836214
112,14.486195
112.2,5.4863769
112.4,1.8364078
112.6,6.3673775
112.8,16.399873
113,2.4919886
113.2,0.11560905
113.4,0.031580114
113.6,0.20682396
113.8,1.6539307
114,1.4717701
114.2,-3.2062056
114.4,-6.5914162
114.6,-8.9674836
114.8,-4.715751
