time,z
0,49.160782
0.2,33.992633
0.4,25.342471
0.6,20.299081
0.8,31.640792
1,27.667496
1.2,19.781847
1.4,27.445203
1.6,30.926751
1.8,20.645634
2,21.444271
2.2,34.497261
2.4,23.131168
2.6,17.396847
2.8,33.02999
3,27.898803
3.2,17.504325
3.4,19.569321
3.6,36.254228
3.8,22.046998
4,13.590438
4.2,19.163917
4.4,36.466416
4.6,20.803737
4.8,12.88081
5,20.867016
5.2,35.310193
5.4,20.126819
5.6,13.068605
5.8,27.628794
6,31.678969
6.2,18.265476
6.4,11.454604
6.6,23.160266
6.8,33.893228
7,19.50048
7.2,14.983776
7.4,36.380014
7.6,26.578875
7.8,15.613542
8,10.031015
8.2,26.925928
8.4,32.062697
8.6,19.02203
8.8,18.66545
9,36.537208
9.2,23.2981
9.4,14.677817
9.6,22.14939
9.8,34.654303
10,20.004626
10.2,11.738187
10.4,7.121606
10.6,14.680791
10.8,38.296287
11,22.376068
11.2,22.422046
11.4,33.460105
11.6,23.761309
11.8,19.481856
12,33.265793
12.2,26.691985
12.4,18.498097
12.6,27.377039
12.8,31.262796
13,19.867543
13.2,18.518272
13.4,36.253271
13.6,24.031827
13.8,15.428507
14,24.058163
14.2,33.533189
14.4,19.586732
14.6,11.769467
14.8,13.803885
15,40.175283
15.2,22.715524
15.4,16.002972
15.6,32.151808
15.8,28.912266
16,17.317838
16.2,13.673423
16.4,38.048971
16.6,26.048472
16.8,15.2481
17,9.9762967
17.2,29.413834
17.4,31.032516
17.6,18.608525
17.8,19.316604
18,36.269595
18.2,22.719208
18.4,14.421102
18.6,23.363701
18.8,33.930169
19,19.565656
19.2,11.492176
19.4,7.3105104
19.6,24.771987
19.8,32.902787
20,20.594928
20.2,24.385476
20.4,32.77322
20.6,21.935234
20.8,19.435925
21,34.815051
21.2,25.085325
21.4,17.317066
21.6,28.636089
21.8,30.708847
22,18.896027
22.2,16.334817
22.4,37.369065
22.6,24.807249
22.8,14.804697
23,12.703356
23.2,40.160482
23.4,24.95406
23.6,15.21114
23.8,18.594289
24,36.965291
24.2,21.470666
24.4,12.613481
24.6,8.2078079
24.8,28.582122
25,31.440074
25.2,19.630971
25.4,23.707873
25.6,33.399999
25.8,21.556536
26,17.50916
26.2,35.20431
26.4,26.133701
26.6,16.48177
26.8,21.017662
27,35.382693
27.2,20.98407
27.4,12.749474
27.6,16.455403
27.8,38.265654
28,21.698678
28.2,14.345163
28.4,28.871307
28.6,30.971288
28.8,17.980989
29,10.584802
29.2,7.3756088
29.4,35.270658
29.6,29.261962
29.8,19.647594
30,27.581045
30.2,30.910599
30.4,20.441871
30.6,21.046668
30.8,34.786265
31,23.15777
31.2,16.938105
31.4,32.375305
31.6,28.499287
31.8,17.557997
32,17.309426
32.2,37.591979
32.4,23.229525
32.6,13.809165
32.8,11.568994
33,40.659254
33.2,25.392059
33.4,16.000685
33.6,23.390878
33.8,33.921425
34,19.964291
34.2,12.263997
34.4,18.826653
34.6,36.529041
34.8,20.73348
35,14.267983
35.2,32.053543
35.4,29.347269
35.6,17.089586
35.8,10.103636
36,8.5585173
36.2,42.536112
36.4,26.097433
36.6,18.847769
36.8,30.98216
37,28.834478
37.2,18.971685
37.4,22.739696
37.6,34.085795
37.8,21.576497
38,16.138079
38.2,34.182143
38.4,27.590564
38.6,16.631414
38.8,14.612966
39,38.959465
39.2,24.526429
39.4,14.382175
39.6,9.3543464
39.8,28.701795
40,31.347807
40.2,19.00684
40.4,20.922005
40.6,35.236437
40.8,22.223583
41,15.189122
41.2,30.254259
41.4,30.137208
41.6,17.716205
41.8,11.427592
42,27.140494
42.2,31.955192
42.4,18.579933
42.6,14.853215
42.8,37.443798
43,25.836915
43.2,15.130412
43.4,9.1310937
43.6,14.311021
43.8,39.17176
44,22.207527
44.2,19.326974
44.4,34.895092
44.6,25.114646
44.8,17.204597
45,28.230293
45.2,30.969593
45.4,18.964825
45.6,15.792407
45.8,37.302983
46,25.324393
46.2,14.999707
46.4,11.230986
46.6,38.237611
46.8,27.052938
47,16.483893
47.2,19.253452
47.4,36.529508
47.6,21.68171
47.8,12.870268
48,10.88476
48.2,41.233826
48.4,25.430299
48.6,16.586317
48.8,26.673126
49,31.966722
49.2,19.154717
49.4,13.577313
49.6,34.083475
49.8,28.442035
50,16.540855
50.2,9.8788954
50.4,11.760423
50.6,41.572315
50.8,23.365235
51,18.364396
51.2,33.954349
51.4,26.756191
51.6,17.514128
51.8,24.069173
52,33.427977
52.2,20.365153
52.4,14.498013
52.6,33.526996
52.8,28.504571
53,16.656881
53.2,10.079513
53.4,15.314493
53.6,38.620285
53.8,21.845247
54,17.895147
54.2,35.269348
54.4,25.836398
54.6,16.529402
54.8,22.695088
55,34.328553
55.2,20.400992
55.4,12.832283
55.6,22.897416
55.8,34.126529
56,19.521692
56.2,12.665634
56.4,27.692937
56.6,31.664187
56.8,18.271589
57,12.06124
57.2,29.833343
57.4,30.706875
57.6,17.852328
57.8,13.159442
58,36.422111
58.2,27.310553
58.4,15.958573
58.6,10.59756
58.8,30.953496
59,30.359075
59.2,18.077933
59.4,17.72385
59.6,37.271287
59.8,23.254836
60,14.015887
60.2,14.670594
60.4,39.64909
60.6,23.000428
60.8,14.252012
61,21.036621
61.2,35.315898
61.4,20.277381
61.6,12.052617
61.8,11.402922
62,41.76427
62.2,24.391964
62.4,16.612194
62.6,29.785559
62.8,30.167217
63,18.247308
63.2,14.770859
63.4,37.677108
63.6,25.688065
63.8,15.030409
64,8.9203418
64.2,9.2399522
64.4,43.456203
64.6,24.721628
64.8,19.557887
65,32.972113
65.2,26.949769
65.4,18.66416
65.6,27.103368
65.8,31.402248
66,20.040883
66.2,18.678986
66.4,36.112041
66.6,24.062203
66.8,15.597917
67,25.016766
67.2,32.976085
67.4,19.340075
67.6,11.894465
67.8,19.121474
68,36.283936
68.2,20.613558
68.4,14.717571
68.6,33.834612
68.8,28.277143
69,16.565736
69.2,10.314206
69.4,21.693534
69.6,34.565471
69.8,20.022647
70,17.474114
70.2,36.588099
70.4,24.713031
70.6,15.315283
70.8,19.342205
71,36.465867
71.2,21.204092
71.4,12.432608
71.6,7.3575784
71.8,7.4241397
72,44.538778
72.2,25.61988
72.4,21.027048
72.6,32.283906
72.8,26.682078
73,19.998008
73.2,29.517067
73.4,29.439574
73.6,20.233222
73.8,24.225702
74,32.904479
74.2,21.866563
74.4,19.064477
74.6,34.946656
74.8,25.256994
75,17.098927
75.2,27.467402
75.4,31.436069
75.6,19.142858
75.8,15.128699
76,36.843575
76.2,26.151782
76.4,15.378718
76.6,10.050588
76.8,29.187696
77,31.119654
77.2,18.614518
77.4,19.038543
77.6,36.429271
77.8,22.860151
78,14.394432
78.2,22.248395
78.4,34.583788
78.6,19.91038
78.8,11.729304
79,8.4739422
79.2,37.71852
79.4,28.173003
79.6,18.617347
79.8,27.02984
80,31.480075
80.2,19.985293
80.4,18.28943
80.6,36.285298
80.8,24.256407
81,15.479563
81.2,23.288702
81.4,33.98537
81.6,19.844784
81.8,11.862177
82,12.448984
82.2,41.212826
82.4,23.533731
82.6,16.330591
82.8,31.088257
83,29.462058
83.2,17.753077
83.4,14.424522
83.6,38.038258
83.8,25.605568
84,14.964173
84.2,8.8334933
84.4,7.441973
