time,z
0,7.4730811
0.2,8.1412727
0.4,44.253826
0.6,25.06092
0.8,20.94141
1,32.691036
1.2,26.320201
1.4,19.721304
1.6,29.906719
1.8,29.259698
2,19.924723
2.2,24.063979
2.4,33.077379
2.6,21.714926
2.8,18.467788
3,35.140276
3.2,25.528028
3.4,16.777816
3.6,25.266892
3.8,32.765311
4,19.669012
4.2,13.628464
4.4,32.631574
4.6,29.172156
4.8,16.940216
5,10.044394
5.2,9.597483
5.4,43.012431
5.6,24.923157
5.8,18.55033
6,32.262475
6.2,28.018115
6.4,18.355959
6.6,23.151531
6.8,33.911724
7,21.091058
7.2,15.445763
7.4,34.013191
7.6,27.944196
7.8,16.570272
8,12.079123
8.2,36.612819
8.4,27.576584
8.6,16.325828
8.8,14.267498
9,39.198586
9.2,24.581164
9.4,14.470214
9.6,10.599217
9.8,37.729308
10,27.524653
10.2,16.978706
10.4,21.142321
10.6,35.29334
10.8,21.124292
11,13.133003
11.2,20.837056
11.4,35.352475
11.6,20.162328
11.8,12.802366
12,24.876607
12.2,33.063548
12.4,18.981136
12.6,12.3223
12.8,27.888893
13,31.584587
13.2,18.259301
13.4,12.695354
13.6,33.761304
13.8,28.809931
14,16.793248
14.2,11.491149
14.4,33.293917
14.6,29.255639
14.8,17.276909
15,15.207593
15.2,38.53871
15.4,24.459865
15.6,14.31375
15.8,8.3994381
16,5.0371079
16.2,9.6094788
16.4,42.053751
16.6,24.190386
16.8,23.828442
17,31.885738
17.2,24.578558
17.4,22.112154
17.6,32.084019
17.8,26.006797
18,20.948786
18.2,30.871186
18.4,27.97446
18.6,20.557976
18.8,27.708397
19,30.52056
19.2,21.124355
19.4,23.190588
19.6,33.310986
19.8,22.816481
20,19.291401
20.2,34.166661
20.4,25.938456
20.6,17.835445
20.8,27.714594
21,31.175008
21.2,19.415019
21.4,17.126608
21.6,36.922565
21.8,24.607852
22,15.019078
22.2,16.953069
22.4,38.082076
22.6,22.162952
22.8,13.133023
23,11.215372
23.2,41.144615
23.4,25.256642
23.6,16.322524
23.8,25.946037
24,32.408205
24.2,19.277643
24.4,12.923145
24.6,30.566925
24.8,30.282164
25,17.54042
25.2,11.206705
25.4,26.102536
25.6,32.434581
25.8,18.854516
26,15.432458
26.2,37.411542
26.4,25.487671
26.6,15.011352
26.8,10.100506
27,32.301442
27.2,29.875631
27.4,18.080204
27.6,19.756098
27.8,36.086578
28,22.223911
28.2,14.020267
28.4,22.74453
28.6,34.275414
28.8,19.685846
29,11.713388
29.2,11.52665
29.4,41.795085
29.6,24.124114
29.8,16.763144
30,30.848642
30.2,29.507664
30.4,17.979361
30.6,15.732879
30.8,38.018516
31,24.587091
31.2,14.458141
31.4,9.4072577
31.6,28.69472
31.8,31.348321
32,18.982435
32.2,20.773176
32.4,35.331452
32.6,22.272017
32.8,15.11168
33,29.768272
33.2,30.409683
33.4,17.841998
33.6,11.291131
33.8,24.408615
34,33.248958
34.2,19.221319
34.4,15.25814
34.6,36.959567
34.8,25.99162
35,15.302936
35.2,10.222297
35.4,31.567295
35.6,30.15105
35.8,18.138307
36,19.116086
36.2,36.469018
36.4,22.554064
36.6,14.019845
36.8,20.447527
37,35.670428
37.2,20.433745
37.4,12.284282
37.6,14.54337
37.8,39.659593
38,22.470385
38.2,15.32991
38.4,30.745575
38.6,29.852298
38.8,17.595925
39,11.674022
39.2,30.314864
39.4,30.52631
39.6,17.836493
39.8,14.217657
40,37.894752
40.2,25.856328
40.4,15.106569
40.6,9.0085394
40.8,10.871056
41,42.188851
41.2,23.681334
41.4,19.400273
41.6,33.850131
41.8,26.215913
42,18.086051
42.2,27.620804
42.4,31.188343
42.6,19.57181
42.8,17.696421
43,36.687789
43.2,24.331309
43.4,15.117236
43.6,19.835807
43.8,36.132255
44,20.943855
44.2,12.284959
44.4,7.4010095
44.6,12.96345
44.8,39.767512
45,22.792581
45.2,21.702491
45.4,33.678835
45.6,24.329856
45.8,19.160043
46,32.52592
46.2,27.510089
46.4,18.648877
46.6,25.597374
46.8,32.346737
47,20.471985
47.2,17.449225
47.4,36.169156
47.6,25.216335
47.8,15.740902
48,20.172175
48.2,35.929785
48.4,21.024565
48.6,12.384674
48.8,8.5539454
49,34.763241
49.2,29.206157
49.4,18.753283
49.6,25.248054
49.8,32.570916
50,20.580126
50.2,17.188844
50.4,36.078224
50.6,25.51481
50.8,15.809623
51,19.0614
51.2,36.661725
51.4,21.502694
51.6,12.62418
51.8,7.7634629
52,18.399294
52.2,36.010337
52.4,21.387285
52.6,22.148729
52.8,33.951223
53,23.196412
53.2,18.386979
53.4,33.639724
53.6,26.987116
53.8,17.703173
54,24.052669
54.2,33.421056
54.4,20.460097
54.6,14.805391
54.8,34.07832
55,28.106519
55.2,16.489132
55.4,10.449084
55.6,24.788832
55.8,33.02888
56,19.311551
56.2,17.31085
56.4,37.006277
56.6,24.312767
56.8,14.850361
57,17.132689
57.2,37.955687
57.4,22.010213
57.6,13.081502
57.8,11.994599
58,41.206496
58.2,24.461098
58.4,15.876996
58.6,26.47853
58.8,32.136096
59,18.976208
59.2,12.285249
59.4,27.233687
59.6,31.894964
59.8,18.419044
60,12.834066
60.2,33.812464
60.4,28.755221
60.6,16.747968
60.8,11.154703
61,31.080523
61.2,30.248632
61.4,17.840748
61.6,15.919027
61.8,38.098384
62,24.293899
62.2,14.285565
62.4,9.2859342
62.6,28.568813
62.8,31.402981
63,19.059594
63.2,21.070742
63.4,35.136694
63.6,22.191998
63.8,15.300734
64,30.776701
64.2,29.835145
64.4,17.584729
64.6,11.662134
64.8,30.281635
65,30.541993
65.2,17.846761
65.4,14.251009
65.6,37.905057
65.8,25.82817
66,15.090333
66.2,8.9766175
