time,y
0,-2.0752222
0.2,1.1621488
0.4,2.4603142
0.6,9.2718448
0.8,18.306684
1,2.9762306
1.2,0.56566998
1.4,2.5187495
1.6,14.957931
1.8,5.1039407
2,-1.6669498
2.2,-4.9654652
2.4,-7.9584176
2.6,-2.6911154
2.8,-2.966547
3,-8.1522417
3.2,-4.8118762
3.4,-1.5342904
3.6,-4.2521983
3.8,-9.1059136
4,-2.312228
4.2,-0.6337888
4.4,-2.603364
4.6,-10.29248
4.8,-4.2983547
5,-4.8450051
5.2,-16.380934
5.4,-12.396712
5.6,-2.0655541
5.8,-4.5032437
6,-19.341365
6.2,-9.5066255
6.4,-0.70106036
6.6,-1.1274379
6.8,-5.0731025
7,1.3195135
7.2,1.7506473
7.4,5.9802613
7.6,19.769959
7.8,5.9677726
8,0.58575271
8.2,1.6520951
8.4,9.9474921
8.6,12.110834
8.8,-0.92573734
9,-3.7018923
9.2,-8.3728737
9.4,-3.8055573
9.6,-2.2268057
9.8,-6.4392569
10,-6.9275515
10.2,-1.5545058
10.4,-2.5729234
10.6,-8.7530438
10.8,-4.7259469
11,-0.38873064
11.2,-0.45646881
11.4,-2.6859889
11.6,-11.171191
11.8,-5.0606492
12,-8.4129581
12.2,-18.639934
12.4,-7.8840747
12.6,-5.6082098
12.8,-15.51891
13,-12.971195
13.2,-3.8580708
13.4,-8.8526155
13.6,-20.743973
13.8,-5.2372152
14,-3.1991405
14.2,-12.220529
14.4,-18.3247
14.6,-2.0612059
14.8,-0.080746469
15,-0.06087748
15.2,-0.43727288
15.4,-3.5499325
15.6,-0.62109405
15.8,5.7942663
16,11.192713
16.2,13.132506
16.4,7.0869305
16.6,9.9642421
16.8,14.286419
17,7.3686008
17.2,8.5660264
17.4,14.922656
17.6,8.2129497
17.8,7.1988663
18,14.498946
18.2,9.8446255
18.4,6.0400368
18.6,12.714317
18.8,12.438037
19,5.3513766
19.2,9.8835992
19.4,15.556964
19.6,5.6732726
19.8,6.8047983
20,16.503286
20.2,8.0699917
20.4,4.2814217
20.6,12.039509
20.8,14.143322
21,3.3356901
21.2,5.3507878
21.4,17.755414
21.6,8.0032566
21.8,1.2207926
22,3.3880774
22.2,16.613288
22.4,10.190945
22.6,2.4884142
22.8,7.1678496
23,15.706083
23.2,1.96054
23.4,1.0975926
23.6,5.1962406
23.8,18.932657
24,1.4258565
24.2,-1.3648924
24.4,-4.9711344
24.6,-8.5684002
24.8,-1.7550941
25,-0.75016212
25.2,-3.3574863
25.4,-10.437354
25.6,-3.4792859
25.8,-5.4728287
26,-18.53174
26.2,-9.893651
26.4,-1.7150006
26.6,-4.6920536
26.8,-20.562226
27,-8.4031767
27.2,-0.74138737
27.4,-1.6601057
27.6,-5.320888
27.8,1.478302
28,1.0393093
28.2,4.1422423
28.4,19.012964
28.6,8.0715429
28.8,2.5554044
29,8.2180101
29.2,14.466488
29.4,1.4650224
29.6,1.0462348
29.8,5.1957437
30,19.270815
30.2,1.2100722
30.4,-1.6416379
30.6,-5.6378907
30.8,-7.8426143
31,-1.5664739
31.2,-1.527836
31.4,-6.4573557
31.6,-7.5034914
31.8,-1.5531756
32,-3.9636056
32.2,-18.379494
32.4,-10.573223
32.6,-0.89018534
32.8,-1.6265691
33,-5.1920322
33.2,1.3167327
33.4,0.48992522
33.6,1.7867034
33.8,10.384152
34,17.698889
34.2,3.6286891
34.4,7.1207862
34.6,14.496068
34.8,3.3965331
35,3.5723455
35.2,12.21449
35.4,8.3086968
35.6,1.4168348
35.8,3.9576395
36,15.673075
36.2,4.4903115
36.4,-0.047152901
36.6,-0.83496261
36.8,-4.4981361
37,-9.7841663
37.2,-3.6257936
37.4,-8.362431
37.6,-20.576466
37.8,-5.9683945
38,-3.4089603
38.2,-12.348201
38.4,-18.0041
38.6,-2.2602996
38.8,-1.0450584
39,-5.2490864
39.2,-25.024084
39.4,-5.389671
39.6,-1.3347026
39.8,-3.7236021
40,-0.73637703
40.2,-0.11790576
40.4,-1.8431244
40.6,-4.6239796
40.8,0.87303535
41,-0.24048319
41.2,-1.797869
41.4,-5.4200455
41.6,1.7281906
41.8,2.1481745
42,8.3815644
42.2,19.401184
42.4,3.4251861
42.6,1.0749317
42.8,4.7922866
43,19.282593
43.2,1.4719133
43.4,-1.6457375
43.6,-5.542056
43.8,-7.8888933
44,-1.6862261
44.2,-1.7266073
44.4,-6.9456791
44.6,-6.9377783
44.8,-1.1198028
45,-2.5249337
45.2,-13.425833
45.4,-16.988448
45.6,-1.4943352
45.8,-1.9051054
46,-4.4825189
46.2,0.72382638
46.4,-0.40036836
46.6,-2.4326774
46.8,-3.9739261
47,1.1860435
47.2,0.83469462
47.4,3.8029873
47.6,19.345395
47.8,8.2346246
48,3.5519836
48.2,10.45434
48.4,10.703541
48.6,1.9295866
48.8,4.28462
49,15.258653
49.2,4.7747846
49.4,0.53455544
49.6,1.8524173
49.8,10.361521
50,11.380737
50.2,-0.65089748
50.4,-3.1341341
50.6,-8.5358001
50.8,-4.2353743
51,-1.4517227
51.2,-4.420995
51.4,-9.0874743
51.6,-2.0963213
51.8,-0.33667702
52,-1.3641552
52.2,-7.809367
52.4,-7.1593152
52.6,-5.2359253
52.8,-14.233011
53,-14.573849
53.2,-4.0543442
53.4,-8.084735
53.6,-20.689494
53.8,-6.1131256
54,-3.1445412
54.2,-11.463701
54.4,-19.313812
54.6,-2.4491231
54.8,-0.45504747
55,-2.2423898
55.2,-14.460943
55.4,-15.389846
55.6,-1.7193146
55.8,-2.7428361
56,-2.5457464
56.2,-0.092954816
56.4,-1.7185053
56.6,-4.0928027
56.8,0.23077694
57,-0.7685112
57.2,-3.3585058
57.4,-1.475275
57.6,0.1570063
57.8,-1.2659494
58,-4.7846489
58.2,0.82414675
58.4,0.20746655
58.6,-0.29168878
58.8,-1.8777953
59,-6.008781
59.2,2.9984126
59.4,6.2476285
59.6,15.815401
59.8,9.0779345
60,4.2435594
60.2,11.198213
60.4,15.048593
60.6,3.7374047
60.8,5.2621098
61,17.221919
61.2,8.5097702
61.4,1.5508641
61.6,4.3557326
61.8,18.72254
62,8.0555533
62.2,1.8954855
62.4,6.1895421
62.6,17.282979
62.8,1.7482682
63,-0.23507843
63.2,-1.2773811
63.4,-6.9775262
63.6,-7.5786504
63.8,-4.1665435
64,-11.82956
64.2,-17.943686
64.4,-3.837368
64.6,-4.9560325
64.8,-18.046727
65,-10.57557
65.2,-1.2561716
65.4,-2.4983039
65.6,-13.217558
65.8,-17.311137
66,-1.507056
66.2,-1.8302452
66.4,-4.5801633
66.6,0.76009985
66.8,-0.32398534
67,-2.1639924
67.2,-4.6324644
67.4,1.368932
67.6,1.1966921
67.8,5.1942051
68,21.215289
68.2,6.038457
68.4,2.9997085
68.6,10.330213
68.8,11.161415
69,1.1125648
69.2,1.7648472
69.4,8.7918966
69.6,14.256809
69.8,0.05079111
70,-1.8663765
70.2,-6.9351488
70.4,-6.7283086
70.6,-0.8395124
70.8,-0.62932751
71,-3.2959333
71.2,-10.767702
71.4,-4.08271
71.6,-7.4538526
71.8,-19.678699
72,-7.6315514
72.2,-3.6965513
72.4,-12.007478
72.6,-18.198001
72.8,-2.8817688
73,-2.7361306
73.2,-12.392369
73.4,-18.43003
73.6,-1.6034202
73.8,-0.9410648
74,-4.1080489
74.2,-0.073017405
74.4,0.9311814
74.6,2.4269927
74.8,11.868777
75,15.368042
75.2,2.428886
75.4,4.7643382
75.6,16.034185
75.8,3.8997452
76,0.45983403
76.2,1.7683913
76.4,10.187283
76.6,11.685029
76.8,-0.74963994
77,-3.3522661
77.2,-8.5066638
77.4,-4.0368292
77.6,-1.7375085
77.8,-5.2819244
78,-8.2432636
78.2,-1.6431534
78.4,-1.0898753
78.6,-4.8360794
78.8,-9.1934386
79,-2.3998068
79.2,-5.1004731
79.4,-19.602364
79.6,-9.0540109
79.8,-0.61886885
80,-0.16092626
80.2,-0.93470797
80.4,-5.8018143
80.6,2.7173181
80.8,5.4818414
81,13.009778
81.2,12.170713
81.4,5.1303861
81.6,9.9042895
81.8,15.691552
82,5.4321086
82.2,6.5129805
82.4,16.61888
82.6,8.1820277
82.8,3.8369205
83,11.087965
83.2,15.416314
83.4,3.2579237
83.6,3.959061
83.8,15.361637
84,10.910674
84.2,1.0633047
84.4,0.18086423
84.6,0.95575605
84.8,7.0655906
85,18.541634
85.2,-1.1514998
85.4,-4.2959866
85.6,-7.4759481
85.8,-4.1983105
86,-3.6755594
86.2,-7.3027479
86.4,-5.0900491
86.6,-3.0571986
86.8,-6.3824674
87,-6.4428637
87.2,-2.7142817
87.4,-4.8582118
87.6,-7.906608
87.8,-3.0027669
88,-3.2121472
88.2,-8.0591328
88.4,-4.6823778
88.6,-1.9543863
88.8,-5.2932371
89,-8.0783261
89.2,-1.8886428
89.4,-1.845301
89.6,-7.0864974
89.8,-6.7111117
90,-0.84288823
90.2,-0.91210723
90.4,-5.2276762
90.6,-26.426038
90.8,-4.9186264
91,-1.6432116
91.2,-3.8227632
91.4,-0.35603326
91.6,-0.64123842
91.8,-2.9320178
92,-2.2505494
92.2,0.077508315
92.4,-1.5035724
92.6,-4.5266627
92.8,0.55526479
93,-0.2876173
93.2,-2.1159715
93.4,-4.5930429
93.6,1.2020434
93.8,0.31352576
94,1.2660558
94.2,7.9905936
94.4,21.647758
94.6,4.5045382
94.8,7.2275302
95,13.662503
95.2,4.2218262
95.4,4.7002524
95.6,13.0643
95.8,6.819423
96,2.7899688
96.2,8.2541031
96.4,13.804206
96.6,2.3077951
96.8,3.1586841
97,12.352231
97.2,8.264984
97.4,0.58790248
97.6,0.88147384
97.8,4.9508986
98,20.244471
98.2,0.79991957
98.4,-2.3717505
98.6,-6.7936
98.8,-6.3422167
99,-1.9222033
99.2,-3.8728001
99.4,-8.9256788
99.6,-3.0416845
99.8,-1.3872558
100,-4.9856223
100.2,-8.7626386
100.4,-1.67489
100.6,-0.83966766
100.8,-4.2797129
101,-23.462322
101.2,-6.749284
101.4,-1.4462923
101.6,-3.5660881
101.8,-0.95200808
102,-0.27525178
102.2,-2.1949489
102.4,-3.8527199
102.6,0.49970684
102.8,-0.78302611
103,-3.5963454
103.2,-1.0687529
103.4,0.42874437
103.6,-0.44268615
103.8,-2.5984688
104,-3.8247426
104.2,2.1268797
104.4,4.9137826
104.6,16.154291
104.8,9.6364632
105,1.9047967
105.2,4.9061593
105.4,19.108856
105.6,7.3600991
105.8,1.2576851
106,4.1163907
106.2,17.476525
106.4,2.9759786
106.6,-0.86034988
106.8,-3.4029627
107,-9.5436234
107.2,-3.1341356
107.4,-0.18457471
107.6,-0.025195801
107.8,-0.15355373
108,-1.2329827
108.2,-9.2726177
108.4,-8.1619544
108.6,-9.3669899
108.8,-15.401171
109,-10.432818
109.2,-8.6607904
109.4,-14.993471
109.6,-11.575679
109.8,-7.9342644
110,-14.033686
110.2,-13.120124
110.4,-7.4071103
110.6,-12.576454
110.8,-14.95958
111,-7.2218176
111.2,-10.773205
111.4,-16.658371
111.6,-7.6043232
111.8,-8.84539
112,-17.321719
112.2,-8.9062378
112.4,-7.0395564
112.6,-15.996954
112.8,-11.639093
113,-5.6407136
113.2,-12.649506
113.4,-16.106029
113.6,-5.1776248
113.8,-8.4476861
114,-19.513661
114.2,-6.9341593
114.4,-4.7830126
114.6,-14.937094
114.8,-14.048547
115,-2.8678444
115.2,-5.8367665
115.4,-20.793683
115.6,-7.6647283
115.8,-0.64789437
116,-1.1186656
116.2,-6.6918323
116.4,-27.372973
116.6,-3.5568486
116.8,-1.7886679
117,-3.9354974
117.2,-0.046518229
117.4,-0.81314925
117.6,-3.3115001
117.8,-1.4769027
118,-0.044340822
118.2,-1.7265121
118.4,-4.5547018
118.6,0.70967256
118.8,-0.35213017
119,-2.2786696
119.2,-4.3286757
119.4,1.2383856
119.6,0.77974852
119.8,3.4836383
120,18.28938
120.2,9.058297
120.4,3.4644875
120.6,9.9303601
120.8,11.459586
121,2.0201385
121.2,4.0928508
121.4,14.791829
121.6,5.2863125
121.8,0.59326651
122,1.9569553
122.2,10.714862
122.4,10.769493
122.6,-0.61162497
122.8,-3.0124578
123,-8.572335
123.2,-4.3307111
123.4,-1.2508642
123.6,-3.7889784
123.8,-9.5754018
124,-2.636948
124.2,-0.55826353
124.4,-2.4736527
124.6,-15.496101
124.8,-13.965159
125,-1.6133875
125.2,-2.7885128
125.4,-2.5085354
125.6,-0.030957384
125.8,-1.6501629
126,-4.2367276
126.2,0.32835848
126.4,-0.62161014
126.6,-3.0634136
126.8,-2.1838956
127,0.41475175
127.2,-0.78219365
127.4,-3.8429324
127.6,-0.56515161
127.8,0.95414363
128,2.2242929
128.2,10.828175
128.4,16.794233
128.6,2.596571
128.8,4.4674443
129,15.514154
129.2,4.4949288
129.4,0.50631502
129.6,1.8081113
129.8,10.222314
130,11.628837
130.2,-0.67532447
130.4,-3.199581
130.6,-8.5177658
130.8,-4.1839648
131,-1.5529764
131.2,-4.72432
131.4,-8.8036918
131.6,-1.9028429
131.8,-0.59609045
132,-2.6094231
132.2,-10.428912
132.4,-4.3560714
132.6,-5.3862686
132.8,-17.292118
