time,x
0,-8.1025221
0.2,-1.2047891
0.4,-1.4990453
0.6,-6.0027362
0.8,-9.0156342
1,0.056718139
1.2,0.40045019
1.4,1.9906574
1.6,11.85865
1.8,10.139634
2,4.7531478
2.2,12.101289
2.4,14.20806
2.6,3.8134115
2.8,7.0801129
3,18.606385
3.2,5.7421785
3.4,3.0609471
3.6,10.842814
3.8,16.917835
4,2.0628506
4.2,1.4200711
4.4,6.9777103
4.6,23.362628
4.8,2.2341424
5,-0.30087925
5.2,-1.0947319
5.4,-3.7427379
5.6,-0.7855393
5.8,-0.29445269
6,-1.1426273
6.2,-4.1870987
6.4,-1.3599252
6.6,-4.2162355
6.8,-19.237305
7,-10.004819
7.2,-1.4432086
7.4,-3.8517656
7.6,-11.765494
7.8,-0.55856721
8,0.28552135
8.2,1.3175749
8.4,7.7983319
8.6,14.532335
8.8,4.2560234
9,9.049527
9.2,17.537857
9.4,4.8050131
9.6,4.9581135
9.8,15.787829
10,9.7992483
10.2,2.3169084
10.4,6.4687443
10.6,20.515288
10.8,4.5525687
11,0.39173677
11.2,1.1919004
11.4,7.4147927
11.6,24.371918
11.8,1.4000461
12,-0.66593674
12.2,-2.0339659
12.4,-2.5965282
12.6,-0.75598194
12.8,-1.2061679
13,-3.3718999
13.2,-1.0025501
13.4,-0.64287473
13.6,-2.464724
13.8,-2.3548963
14,-0.39828686
14.2,-0.67910993
14.4,-3.6843997
14.6,-1.4954198
14.8,-0.098869317
15,-0.21217679
15.2,-1.4843934
15.4,-11.962118
15.6,-19.233387
15.8,-4.2406141
16,-6.5330063
16.2,-6.31627
16.4,-3.1395431
16.6,-5.7478545
16.8,-7.320615
17,-3.0140957
17.2,-4.8784004
17.4,-8.1510732
17.6,-3.161044
17.8,-3.9631915
18,-8.3510332
18.2,-3.8058912
18.4,-3.0910394
18.6,-7.5811634
18.8,-5.3212318
19,-2.3611241
19.2,-5.9600252
19.4,-7.8432879
19.6,-1.9614044
19.8,-4.0111809
20,-9.5970837
20.2,-2.4551505
20.4,-2.2520319
20.6,-7.5085476
20.8,-5.9801081
21,-1.0278278
21.2,-3.3098842
21.4,-10.841349
21.6,-1.6722983
21.8,-0.42120257
