time,y
0,3.4245596
0.2,2.5653825
0.4,4.3548199
0.6,13.846631
0.8,5.9105911
1,1.6116689
1.2,5.907191
1.4,17.420689
1.6,1.3366723
1.8,0.24732817
2,1.5339182
2.2,9.4556158
2.4,13.654175
2.6,-3.2978257
2.8,-8.7028934
3,-18.425702
3.2,-6.6063451
3.4,-5.2286664
3.6,-15.463943
3.8,-12.204014
4,-3.1060851
4.2,-7.0639277
4.4,-20.709167
4.6,-5.7716489
4.8,-1.1888226
5,-4.2356231
5.2,-20.328962
5.4,-7.7776982
5.6,0.13388871
5.8,1.1728451
6,5.4506561
6.2,2.4828083
6.4,0.4163005
6.6,0.94883088
6.8,6.3827662
7,2.6201476
7.2,2.8338196
7.4,12.319455
7.6,8.2217261
7.8,-0.77673847
8,-2.6480477
8.2,-12.699756
8.4,-16.498853
8.6,-0.92160275
8.8,0.57598751
9,2.4668493
9.2,5.7413156
9.4,0.62725634
9.6,0.078269814
9.8,0.25002381
10,2.2640797
10.2,7.3349715
10.4,5.5893373
10.6,12.913417
10.8,6.5830455
11,3.6832505
11.2,10.090229
11.4,11.074808
11.6,2.6551164
11.8,6.2439869
12,15.360556
12.2,3.1747552
12.4,2.9120857
12.6,10.614129
12.8,10.936146
13,0.8842983
13.2,2.6436101
13.4,12.194967
13.6,8.4084069
13.8,-0.93083612
14,-3.1675992
14.2,-14.52413
14.4,-13.96139
14.6,-0.70440079
14.8,0.47199319
15,2.1221958
15.2,6.3066087
15.4,1.175466
15.6,2.6750033
15.8,13.7922
16,5.7623478
16.2,-2.4195726
16.4,-7.6136381
16.6,-20.484565
16.8,-5.4629516
17,-1.8127943
17.2,-6.8446998
17.4,-22.902274
17.6,-4.0509928
17.8,0.19585666
18,0.96652428
18.2,5.8468173
18.4,2.6182173
18.6,1.091276
18.8,5.0723896
19,20.368152
19.2,-0.9023112
19.4,-4.5273074
19.6,-14.447461
19.8,-13.551872
20,-2.8327508
20.2,-5.4804188
20.4,-19.646824
20.6,-7.8239505
20.8,-0.53411807
21,-0.29094596
21.2,-1.7404534
21.4,-12.699808
21.6,-16.496309
21.8,0.039291462
22,1.9741226
22.2,4.6112884
22.4,2.5333103
22.6,1.6985374
22.8,4.1281073
23,3.2758269
23.2,1.4613763
23.4,3.1287364
23.6,4.3981526
23.8,1.4228516
24,2.0398717
24.2,5.3224748
24.4,1.8099137
24.6,1.250166
24.8,4.3453939
25,3.3555102
25.2,0.84792033
25.4,1.8060563
25.6,6.0955456
25.8,1.2782646
26,0.48032961
26.2,1.834726
26.4,6.7060092
26.6,1.5339398
26.8,3.6371359
27,16.281685
27.2,2.9859804
27.4,-1.7255653
