time,x,y,z
0,10.207652,8.083436,3.794628
0.2,13.894711,10.759816,45.630265
0.4,7.4844646,-0.084135085,25.79061
0.6,13.478357,-0.98645855,23.191772
0.8,13.77796,-1.8789909,31.483071
1,7.7154916,-1.1042466,25.828271
1.2,12.143061,-0.90817284,22.055622
1.4,15.332292,-1.8298308,30.986654
1.6,7.6976506,-1.2641892,27.205321
1.8,10.550564,-0.81029678,21.428864
2,16.621675,-1.66354,29.373047
2.2,8.1995583,-1.5032148,28.958059
2.4,8.8806689,-0.74598228,21.383579
2.6,16.990139,-1.3959722,26.564156
2.8,9.4865772,-1.8100526,31.031466
3,7.3217141,-0.73252465,22.037657
3.2,15.80429,-1.0855243,23.124403
3.4,11.899904,-2.0934676,33.026359
3.6,6.1044541,-0.80693375,23.515378
3.8,13.028032,-0.80443318,20.181351
4,15.597311,-2.1311263,33.469341
4.2,5.6380991,-1.0569748,26.012853
4.4,9.4150444,-0.59822658,18.784749
4.6,18.947882,-1.6900005,29.438841
4.8,6.8087313,-1.6371425,29.876628
5,5.9944935,-0.49342473,19.444654
5.2,17.044873,-0.97154862,21.163788
5.4,11.407687,-2.4132516,34.974908
5.6,3.6486898,-0.59272567,22.457685
5.8,9.5063961,-0.4611353,15.925845
6,20.781528,-1.9455236,31.906278
6.2,4.6738815,-1.5498042,29.06779
6.4,2.8417606,-0.2355898,17.382921
6.6,11.565548,-0.42990737,13.457949
6.8,19.658244,-2.6269653,37.723931
7,2.3359275,-1.3123217,26.387573
7.2,0.96256145,-1.277186,15.447503
7.4,4.559639,-6.0858494,10.299866
7.6,14.382222,-21.070064,31.438967
7.8,0.50769969,-4.7110947,30.193813
8,-1.3315058,-4.8208714,18.12393
8.2,-4.5213043,-16.152782,18.828073
8.4,-5.3269566,-11.321306,36.642802
8.6,-1.0083289,-1.9839866,22.6881
8.8,-1.3018321,-4.6996214,13.999373
9,-5.3871614,-19.530766,19.198767
9.2,-4.8751511,-8.1670382,36.481628
9.4,-1.1629258,-0.72885944,20.879202
9.6,-3.723791,-1.6274539,12.643866
9.8,-17.764625,-7.7399322,16.389442
10,-10.542543,-1.4543191,38.299286
10.2,-2.4171978,1.0639364,21.703459
10.4,-7.1252543,3.805731,14.466078
10.6,-19.493629,11.292388,29.523792
10.8,-3.6324754,3.8913039,30.622975
11,-0.46975642,0.37255004,17.813567
11.2,-1.9442347,1.0180693,10.561275
11.4,-11.847257,6.0907813,9.6592014
11.6,-14.288878,10.7045,42.73965
11.8,-1.229079,4.3022407,25.152664
12,-1.7509302,10.136052,18.174712
12.2,-2.3603636,18.895615,31.541647
12.4,0.13735206,5.8723399,28.672198
12.6,-0.88592403,5.8125784,18.402747
12.8,-3.013248,17.639025,21.146918
13,0.044481409,10.938469,35.161941
13.2,-0.16048748,2.9613743,21.854885
13.4,-1.454317,8.0221107,14.723999
13.6,-3.2744912,22.070111,29.553354
13.8,0.7310265,5.3321811,30.574036
14,-0.059006964,0.92926554,17.839067
14.2,-0.7087433,3.6677287,10.786906
14.4,-3.7726203,19.616278,15.261379
14.6,1.2565053,10.348781,38.824321
14.8,2.5480195,3.1448871,21.897165
15,7.7211825,8.7876524,16.871492
15.2,13.22428,12.925568,34.818807
15.4,3.3235343,2.3425626,26.826086
15.6,3.0710176,3.3905709,16.524283
15.8,11.377254,13.026916,17.837544
16,9.6186828,7.4942985,37.440043
16.2,1.1702503,0.64794552,22.383742
16.4,0.85378823,0.9662008,13.172524
16.6,4.6044128,5.4689075,8.7467612
16.8,18.070598,19.680727,31.104915
17,5.0187652,1.4247005,30.480021
17.2,6.7561367,-0.34948955,19.006854
17.4,18.366158,-1.1426279,23.271116
17.6,9.6609419,-2.2613973,33.773206
17.8,3.9167596,-0.51613496,21.347106
18,11.293062,-0.53720192,16.309106
18.2,18.983199,-2.2688852,34.761901
18.4,3.7709214,-1.1934154,27.118915
18.6,3.696066,-0.24305377,16.423555
18.8,15.069964,-0.59775262,15.355514
19,14.660461,-2.9419356,38.841509
19.2,1.428573,-0.83095588,23.810948
19.4,0.59194901,-0.78175277,13.956926
19.6,3.1039702,-4.1151185,8.7222503
19.8,15.035762,-20.713238,22.2495
20,1.1109052,-6.9068407,34.114735
20.2,-1.6100066,-5.791924,20.337775
20.4,-4.5694663,-15.791436,21.05203
20.6,-4.9975137,-11.210119,34.881076
20.8,-1.5467433,-3.8129618,22.962089
21,-2.7113251,-9.5982885,16.623581
21.2,-6.3912845,-19.101241,32.239801
21.4,-2.494356,-4.3698877,28.680631
21.6,-1.1568613,-3.7482575,17.48821
21.8,-3.8964111,-14.275807,16.02245
22,-6.0693967,-13.906086,38.192926
22.2,-1.104602,-1.5086339,24.019642
22.4,-0.30085456,-1.0170841,14.109078
22.6,-1.404436,-5.4572585,8.9232234
22.8,-7.0804452,-25.117136,24.417186
23,-4.4258411,-4.6758161,33.126654
23.2,-5.4893209,-2.3289643,19.882413
23.4,-15.499242,-6.4119627,21.023918
23.6,-11.612824,-2.9201512,35.007065
23.8,-3.6729521,-1.0801822,22.692993
24,-8.8351224,-3.7295052,16.151528
24.2,-19.399415,-7.1871442,31.869363
