time,x,y,z
0,-24.7986,18.6088,13.3508
0.5,7.69632,7.49657,27.4848
1,8.83883,8.47037,28.5701
1.5,9.43232,9.6089,27.6152
2,8.71288,9.1972,25.6332
2.5,7.6312,7.81738,25.3201
3,7.50663,7.14901,26.9848
3.5,8.62718,8.07304,28.8609
4,9.68245,9.75587,28.2642
4.5,9.03746,9.65221,25.5943
5,7.5713,7.91355,24.677
5.5,7.11349,6.78062,26.4631
6,8.34547,7.59047,29.1036
6.5,9.9459,9.88729,29.0075
7,9.38946,10.1615,25.499
7.5,7.45276,7.95352,23.917
8,6.65703,6.32975,25.9374
8.5,8.0896,7.09856,29.4579
9,10.3307,10.1901,29.7442
9.5,9.63999,10.6477,24.9642
10,7.05888,7.66461,22.9649
10.5,6.09331,5.648,25.7135
11,8.15673,6.83046,30.3909
11.5,11.0833,11.1984,29.9678
12,9.26452,10.6018,23.0555
12.5,5.94019,6.41102,22.0471
13,5.61494,4.64221,26.8393
13.5,9.68258,8.09018,32.7574
14,11.6037,13.0897,26.0863
14.5,6.45602,7.58637,19.5034
15,4.03481,3.54585,23.7818
15.5,8.49455,5.91494,33.4657
16,12.5186,14.7548,24.6026
16.5,3.9004,4.70107,16.6881
17,3.22668,1.37559,26.736
17.5,14.432,17.7672,23.3879
18,2.45193,-1.8922,15.0567
18.5,1.46138,-5.97909,32.6321
19,-10.939,-14.1012,16.6788
19.5,-1.34529,0.952251,17.0323
20,-7.73434,11.9954,40.5213
