time,x
0,-16.987858
0.2,-9.8576724
0.4,-10.501368
0.6,-3.4443183
0.8,-5.8132395
1,-13.496722
1.2,-4.6692731
1.4,-2.7525099
1.6,-8.8384371
1.8,-11.630049
2,-1.6843299
2.2,-1.4517561
2.4,-6.7211407
2.6,-14.700509
2.8,-0.16259698
3,3.512452
3.2,12.107498
3.4,7.4984729
3.6,1.1589042
3.8,2.2846504
4,10.970659
4.2,8.9119098
4.4,-1.1548909
4.6,-5.0315682
4.8,-14.376326
5,-4.0569789
5.2,-0.83436945
5.4,-2.6384109
5.6,-13.09202
5.8,-6.2074586
6,2.1497588
6.2,7.4051132
6.4,13.011728
6.6,2.8531847
6.8,2.4442689
7,9.4445825
7.2,10.960204
7.4,0.59238584
7.6,-0.89219026
7.8,-4.6681419
8,-16.638558
8.2,-0.98479577
8.4,3.9585742
8.6,11.690315
8.8,7.8697804
9,2.4539427
9.2,5.8178717
9.4,14.31932
9.6,3.3574672
9.8,1.1071563
10,4.083102
10.2,15.700451
10.4,2.8697571
10.6,-2.3084008
10.8,-8.4435936
11,-12.108947
11.2,-1.7423086
11.4,-1.2509877
11.6,-5.7479856
11.8,-15.765548
12,-0.61409608
12.2,3.4489556
12.4,11.597203
12.6,8.1207379
12.8,1.5132575
13,3.0668278
13.2,12.88517
13.4,6.5637174
13.6,-0.77523206
13.8,-3.7996329
14,-14.385531
14.2,-4.6585425
14.4,0.80342498
14.6,3.7813284
14.8,14.840286
15,4.090263
15.2,-1.4479226
15.4,-5.8854809
15.6,-14.842507
15.8,-2.2806535
16,0.45015084
16.2,2.3734759
16.4,12.779875
16.6,6.4998184
16.8,-2.6417047
17,-8.2786763
17.2,-11.915323
17.4,-3.1715786
17.6,-4.0381564
17.8,-12.729142
18,-6.66285
18.2,-1.3960997
18.4,-3.4626269
18.6,-14.02965
18.8,-5.1495291
19,1.0800431
19.2,4.69101
19.4,15.139157
19.6,3.2543313
19.8,-0.77484752
20,-3.6725164
20.2,-15.143146
20.4,-3.729329
20.6,2.0609254
20.8,7.621017
21,13.060492
21.2,1.9963077
21.4,1.0191247
21.6,4.4841552
21.8,16.320906
22,1.7037602
22.2,-3.1987357
22.4,-10.559133
22.6,-9.3971151
22.8,-1.9335898
23,-3.4933641
23.2,-13.228791
23.4,-6.1400253
23.6,0.13968339
23.8,1.6594281
24,8.9240249
24.2,11.691206
24.4,-1.3347537
24.6,-5.6663276
24.8,-13.700141
25,-4.4488026
25.2,-2.3679616
25.4,-7.919652
25.6,-12.823682
25.8,-1.5412896
26,-0.32164967
26.2,-1.3372896
26.4,-8.6499205
26.6,-11.999066
26.8,2.6233353
27,7.7541553
27.2,11.853673
27.4,4.5946321
27.6,5.5247393
27.8,12.601571
28,6.1488546
28.2,3.6235791
28.4,9.5908718
28.6,10.489528
28.8,2.7484659
29,4.5767158
29.2,13.727949
29.4,5.2313745
29.6,1.2237093
29.8,3.5849712
30,14.632579
30.2,4.3879014
30.4,-1.5606592
30.6,-6.1793861
30.8,-14.541933
31,-2.309497
31.2,0.026021521
31.4,0.50488302
31.6,3.3385574
31.8,17.280091
32,1.0245017
32.2,-5.5154073
32.4,-11.483924
32.6,-7.331735
