time,z
0,20.742455
0.2,21.340701
0.4,34.511519
0.6,22.717403
0.8,16.99357
1,33.272248
1.2,27.883875
1.4,17.247932
1.6,18.003189
1.8,37.255271
2,22.669659
2.2,13.513998
2.4,12.144865
2.6,40.971425
2.8,24.596467
3,15.670519
3.2,24.648615
3.4,33.188395
3.6,19.464974
3.8,11.937075
4,18.525629
4.2,36.681031
4.4,20.809567
4.6,14.765088
4.8,33.483713
5,28.462902
5.2,16.681304
5.4,10.449027
5.6,22.811491
5.8,33.99531
6,19.73999
6.2,17.209605
6.4,36.802582
6.6,24.694624
6.8,15.135662
7,17.640446
7.2,37.612298
7.4,21.877343
7.6,12.898043
7.8,9.5622704
8,38.685718
8.2,27.453413
8.4,17.664838
8.6,25.366112
8.8,32.63484
9,19.996742
9.2,15.189595
9.4,35.662591
9.6,26.978362
9.8,15.912481
10,10.913929
10.2,33.641856
10.4,29.208434
10.6,17.455499
10.8,17.39267
11,37.588262
11.2,23.085833
11.4,13.699417
11.6,11.108183
11.8,40.433558
12,25.85568
12.2,16.34641
12.4,23.761736
12.6,33.689988
12.8,19.962933
13,12.654548
13.2,24.170951
13.4,33.427856
13.6,19.16901
13.8,12.65709
14,29.600704
14.2,30.763226
14.4,17.808751
14.6,11.823778
14.8,30.513783
15,30.424856
15.2,17.755795
15.4,13.802065
15.6,37.63823
15.8,26.276293
16,15.353799
16.2,9.5317573
16.4,21.161454
16.6,34.757783
16.8,20.311738
17,19.146468
17.2,35.88554
17.4,23.866068
17.6,15.783234
17.8,26.883377
18,31.911405
18.2,18.83855
18.4,12.23342
18.6,27.637015
18.8,31.705724
19,18.3294
19.2,12.898247
19.4,34.36853
19.6,28.467557
19.8,16.590807
20,11.012554
20.2,30.787738
20.4,30.386733
20.6,17.948316
20.8,16.333712
21,37.927732
21.2,24.062269
21.4,14.21006
21.6,10.20455
21.8,36.916078
22,28.001967
22.2,17.351921
22.4,21.840105
22.6,34.833308
22.8,21.027107
23,13.58558
23.2,26.214191
23.4,32.373532
23.6,18.643214
23.8,11.199058
24,13.938141
24.2,39.975176
24.4,22.520052
24.6,16.562539
24.8,33.590944
25,27.839235
25.2,16.970164
25.4,16.172401
25.6,38.314125
25.8,23.585052
26,13.825992
26.2,8.2751798
26.4,11.555323
26.6,41.349505
26.8,23.264843
27,20.327481
27.2,33.998694
27.4,25.322805
27.6,18.409019
27.8,30.287003
28,29.422372
28.2,18.967446
28.4,20.911678
28.6,35.220571
28.8,22.27288
29,15.283915
29.2,30.455991
29.4,30.012761
29.6,17.675923
29.8,11.614345
30,29.31242
30.2,30.972684
30.4,18.066665
30.6,14.35773
30.8,37.719635
31,25.911359
31.2,15.137586
31.4,8.9037218
31.6,6.2031512
31.8,34.61329
32,29.681814
32.2,20.660049
32.4,28.563526
32.6,29.943683
32.8,20.877142
33,24.107177
33.2,32.811107
33.4,22.345399
33.6,19.840837
33.8,34.432145
34,25.19056
34.2,17.822433
34.4,29.569981
34.6,30.035839
34.8,18.864112
35,18.474616
35.2,36.639637
35.4,23.372973
35.6,14.633013
35.8,21.259514
36,35.198105
36.2,20.291885
36.4,11.931327
36.6,7.981666
36.8,31.794455
37,30.315967
37.2,19.430589
37.4,25.238149
37.6,32.466549
37.8,20.965585
38,18.402063
38.2,35.694998
38.4,24.943582
38.6,16.231849
38.8,24.837082
39,33.05296
39.2,19.597117
39.4,12.676693
39.6,26.920263
39.8,32.036923
40,18.461344
40.2,12.148122
40.4,29.468726
40.6,30.86499
40.8,17.918236
41,12.957565
41.2,35.745362
41.4,27.747605
41.6,16.210219
41.8,10.986273
42,32.733874
42.2,29.576143
42.4,17.590177
42.6,16.849767
42.8,37.837957
43,23.490524
43.2,13.888655
43.4,10.312902
43.6,38.416449
43.8,27.307854
44,17.101692
44.2,22.864295
44.4,34.206206
44.6,20.555593
44.8,13.466828
45,27.898871
45.2,31.525404
45.4,18.191908
