time,z
74,19.176335
74.2,11.615502
74.4,15.770515
74.6,38.597506
74.8,21.785149
75,15.714545
75.2,33.51545
75.4,28.171826
75.6,16.789676
75.8,12.902137
76,37.943545
76.2,26.511503
76.4,15.615577
76.6,12.173399
76.8,38.896959
77,26.26591
77.2,15.774838
77.4,16.381713
77.6,38.431063
77.8,22.786661
78,13.388005
78.2,8.9158134
78.4,31.457148
78.6,30.334625
78.8,18.861733
79,22.967031
79.2,33.983741
79.4,21.372008
79.6,15.929686
79.8,34.260608
80,27.61716
80.2,16.55707
80.4,13.778331
80.6,38.957657
80.8,25.245484
81,14.851978
81.2,10.874111
81.4,37.572974
81.6,27.505725
81.8,16.817729
82,19.947144
82.2,36.067006
82.4,21.530776
82.6,13.008376
82.8,15.2027
83,39.235489
83.2,22.343208
83.4,14.5438
83.6,27.277337
83.8,31.78484
84,18.447072
84.2,10.876548
84.4,8.0504916
84.6,38.950642
84.8,27.852611
85,18.959628
85.2,28.457146
85.4,30.501833
85.6,19.778955
85.8,20.398147
86,35.344141
86.2,23.000453
86.4,15.93604
86.6,30.458768
86.8,29.896736
87,17.834303
87.2,13.168854
87.4,36.369336
87.6,27.334731
87.8,15.969234
88,10.550129
88.2,30.421909
88.4,30.581284
88.6,18.192873
88.8,17.759813
89,37.223818
89.2,23.30252
89.4,14.085857
89.6,15.276518
89.8,39.235856
90,22.677487
90.2,13.969731
90.4,20.039016
90.6,35.927689
90.8,20.563749
91,12.425708
91.2,15.823415
91.4,38.692491
91.6,21.902756
91.8,14.830212
92,30.54359
92.2,30.042426
92.4,17.570679
92.6,10.820607
92.8,19.482017
93,35.897237
93.2,20.521758
93.4,16.470636
93.6,36.152331
93.8,25.945032
94,15.715203
94.2,15.49649
94.4,38.955468
94.6,23.306085
94.8,13.739724
95,10.267561
95.2,38.705751
95.4,27.190632
95.6,17.108434
95.8,23.343145
96,33.910528
96.2,20.396745
96.4,13.572546
96.6,29.408243
96.8,30.772111
97,17.798315
97.2,10.611818
97.4,11.590749
97.6,41.807103
97.8,23.654362
98,17.628409
98.2,33.123582
98.4,27.758061
98.6,17.553154
98.8,20.433536
99,35.702279
99.2,21.700138
99.4,13.684013
99.6,22.870361
99.8,34.187775
100,19.599521
100.2,11.855807
100.4,15.909213
100.6,38.53471
100.8,21.762945
101,15.406314
101.2,32.868136
101.4,28.64575
101.6,16.954034
101.8,11.940689
102,34.899723
102.2,28.442762
102.4,16.764562
102.6,14.026356
102.8,38.877828
103,25.135521
103.2,14.754724
103.4,10.133435
103.6,34.098301
103.8,29.163269
104,17.787985
104.2,20.378483
104.4,35.728208
104.6,21.804326
104.8,13.825559
105,23.589381
105.2,33.785572
105.4,19.403452
105.6,11.609155
105.8,13.022216
106,40.774868
106.2,23.096902
106.4,16.365079
106.6,32.153966
106.8,28.816528
107,17.42178
107.2,14.917167
107.4,38.436774
107.6,24.852226
107.8,14.53734
108,8.5367613
108.2,5.3874449
108.4,21.449514
108.6,34.137548
108.8,22.046459
109,26.134367
109.2,31.19543
109.4,22.464117
109.6,23.107433
109.8,32.856052
110,23.852503
110.2,20.547454
110.4,33.120602
110.6,26.109212
110.8,19.23617
111,29.819789
111.2,29.485274
111.4,19.619885
111.6,22.770555
111.8,33.952478
112,21.954735
112.2,17.059302
112.4,34.515921
112.6,26.954991
112.8,16.73255
113,18.785728
113.2,36.816641
113.4,22.024385
113.6,13.10193
113.8,11.516471
114,41.232196
114.2,24.924231
114.4,16.140173
114.6,26.180981
114.8,32.286316
115,19.146405
115.2,12.662903
115.4,29.436186
115.6,30.838742
115.8,17.846738
116,11.819134
116.2,30.263524
116.4,30.536047
116.6,17.811471
116.8,13.809574
117,37.565606
117.2,26.323086
117.4,15.378187
117.6,9.499104
117.8,20.117155
118,35.324235
118.2,20.55204
118.4,19.109664
118.6,35.806554
118.8,24.049588
119,15.957028
119.2,27.01621
119.4,31.82237
119.6,18.852102
119.8,12.543219
120,30.110601
120.2,30.535798
120.4,17.701267
120.6,11.989393
120.8,32.242268
121,29.637974
121.2,17.333183
121.4,13.399593
121.6,37.801168
121.8,26.367205
122,15.446682
122.2,10.510775
122.4,33.237449
122.6,29.443136
122.8,17.721552
123,18.699712
123.2,36.781574
123.4,22.533815
123.6,13.707992
123.8,16.604708
124,38.265084
124.2,21.876282
124.4,13.622575
124.6,21.818932
124.8,34.798282
125,19.912544
125.2,12.158977
125.4,18.099912
125.6,37.002097
125.8,20.972558
126,14.564191
126.2,32.425054
126.4,29.091587
126.6,16.994997
126.8,10.305922
127,15.89895
127.2,38.227264
127.4,21.643201
127.6,17.524827
127.8,35.386186
128,25.972601
128.2,16.36115
128.4,20.964232
128.6,35.41894
128.8,20.955783
129,12.658158
129.2,15.150013
129.4,39.237865
129.6,22.270577
129.8,14.823088
130,29.201707
