time,x
0,-15.968345
0.2,-12.006225
0.4,-6.1670554
0.6,-11.280082
0.8,-16.327403
1,-6.3345458
1.2,-8.6021102
1.4,-17.912057
1.6,-7.739337
1.8,-6.1245129
2,-15.919284
2.2,-11.574516
2.4,-4.359314
2.6,-10.59851
2.8,-18.438687
3,-4.5208722
3.2,-5.1068743
3.4,-17.397898
3.6,-10.54512
3.8,-1.8461869
4,-4.7614065
4.2,-20.215376
4.4,-8.1415148
4.6,-0.76010557
4.8,-1.7951269
5,-7.2919125
5.2,0.25594051
5.4,1.2170602
5.6,4.5872446
5.8,15.763811
6,5.129289
6.2,1.4310556
6.4,5.5906352
6.6,23.503989
6.8,5.5258658
7,1.1926094
7.2,3.918994
7.4,4.6540489
7.6,-0.1763312
7.8,0.38899701
8,2.2290813
8.2,8.2109334
8.4,-1.2401662
8.6,-3.2189956
8.8,-10.401793
9,-10.360476
9.2,-2.1706242
9.4,-3.7709581
9.6,-13.911968
9.8,-7.0779659
10,-0.63771705
10.2,-0.58216214
10.4,-3.495744
10.6,-22.202078
10.8,-7.5210247
11,-2.2777573
11.2,-4.8518489
11.4,-2.4106697
11.6,-1.3175316
11.8,-3.8968893
12,-4.0737812
12.2,-0.87207407
12.4,-2.6091883
12.6,-5.7843646
12.8,-0.82052966
13,-1.3840989
13.2,-4.9066638
13.4,-2.6665619
13.6,-0.41780218
13.8,-2.1159468
14,-6.7768858
14.2,-0.19332206
14.4,-0.13858786
14.6,-1.1472855
14.8,-6.1506846
15,-0.73423335
15.2,2.0103322
15.4,6.2874205
15.6,14.375508
15.8,4.1507465
16,2.0138429
16.2,7.7064816
16.4,14.026652
16.6,2.4009708
16.8,1.4268505
17,6.8853581
17.2,25.351122
17.4,3.7090718
17.6,1.7340003
17.8,5.4843389
18,1.8152413
18.2,0.36051914
18.4,2.0289779
18.6,7.0362499
18.8,-0.025250398
19,-0.19642525
19.2,-0.57699158
19.4,-3.466977
19.6,-17.84671
19.8,-6.4667763
20,-7.3673783
20.2,-17.137684
20.4,-9.5425029
20.6,-5.3581182
20.8,-13.625828
21,-14.527454
21.2,-4.3387087
21.4,-8.3845216
21.6,-19.820307
21.8,-5.9757445
22,-3.9052716
22.2,-13.570709
22.4,-15.443122
22.6,-2.1946912
22.8,-2.773757
23,-13.145202
23.2,-16.59193
23.4,-1.4647449
23.6,-1.6097364
23.8,-6.3256535
24,-0.74447172
24.2,0.28626508
24.4,0.72306146
24.6,4.0697617
24.8,18.024637
25,5.6419978
25.2,6.9119473
25.4,17.687572
25.6,9.3002599
25.8,4.4023848
26,12.274949
26.2,16.666297
26.4,3.6658488
26.6,5.5144046
26.8,18.978889
27,8.8386172
27.2,1.3991232
27.4,4.0079801
27.6,19.041376
27.8,9.3949663
28,1.0828509
28.2,2.6395097
28.4,6.8538381
28.6,-0.2317644
28.8,0.014431626
29,0.43127706
29.2,2.8315497
29.4,7.8268373
29.6,-2.3074543
29.8,-5.7986536
30,-12.653599
30.2,-6.4592675
30.4,-4.2105844
30.6,-10.71441
30.8,-9.5949488
31,-3.2116559
31.2,-6.6810984
31.4,-13.817699
31.6,-4.2414113
31.8,-2.9712555
32,-10.37288
32.2,-10.63134
32.4,-1.5805874
32.6,-1.6359974
32.8,-8.083116
33,-13.974896
33.2,-3.013017
33.4,-6.2463311
33.6,-20.276843
