time,y
0,3.61147
0.5,-1.89572
1,-13.8449
1.5,-7.53637
2,-0.10673
2.5,-20.6039
3,5.715
3.5,-0.1987
4,18.4305
4.5,-4.30589
5,0.546555
5.5,-11.3193
6,3.79016
6.5,0.972908
7,15.6721
7.5,-0.888285
8,-16.2873
8.5,11.078
9,2.39435
9.5,1.80778
10,7.40931
10.5,-2.76305
11,-5.70215
11.5,-4.50859
12,3.16002
12.5,11.4565
13,5.25477
13.5,-2.0114
14,-19.0926
14.5,3.08025
15,-2.41915
15.5,-17.9736
16,0.937783
16.5,11.1808
17,-12.7934
17.5,-3.19265
18,-0.469333
18.5,-13.1296
19,2.17799
19.5,1.99876
20,-6.64473
