time,x,y,z
0,-16.9879,3.61147,20.7425
0.5,-5.65202,-1.89572,28.6467
1,-13.4967,-13.8449,33.2722
1.5,-4.63532,-7.53637,14.9919
2,-1.68433,-0.10673,22.6697
2.5,-13.6499,-20.6039,25.0974
3,3.51245,5.715,15.6705
3.5,2.63168,-0.1987,25.378
4,10.9707,18.4305,18.5256
4.5,-2.64135,-4.30589,16.5321
5,-4.05698,0.546555,28.4629
5.5,-6.12807,-11.3193,11.038
6,2.14976,3.79016,19.74
6.5,6.96873,0.972908,31.9873
7,9.44458,15.6721,17.6404
7.5,-0.329196,-0.888285,16.7536
8,-16.6386,-16.2873,38.6857
8.5,7.0202,11.078,17.6727
9,2.45394,2.39435,19.9967
9.5,9.11045,1.80778,35.0367
10,4.0831,7.40931,10.9139
