time,y
0,-12.513207
0.2,-1.4227304
0.4,-0.20771313
0.6,-1.0997456
0.8,-7.7947787
1,-27.675317
1.2,-5.1114549
1.4,-7.4199741
1.6,-12.505545
1.8,-5.2710942
2,-5.8100421
2.2,-12.661593
2.4,-6.5798561
2.6,-4.4199468
2.8,-10.899476
3,-9.3925744
3.2,-3.4748397
3.4,-7.7187037
3.6,-13.469636
3.8,-3.6256363
4,-4.4413998
4.2,-13.445308
4.4,-6.659079
4.6,-2.0955577
4.8,-6.5322111
5,-15.919833
5.2,-2.6675098
5.4,-0.88482691
5.6,-4.0356545
5.8,-17.884207
6,-3.4215011
6.2,-0.28329515
6.4,-0.76448934
6.6,0.52392614
6.8,0.5451778
7,-0.1476807
7.2,-0.94746803
7.4,1.0681481
7.6,0.95970652
7.8,2.3987871
8,10.734236
8.2,10.613309
8.4,1.8027574
8.6,4.2602094
8.8,18.702894
9,10.914068
9.2,1.4144219
9.4,3.5957381
9.6,15.444209
9.8,5.2246466
10,0.27114204
10.2,0.38941921
10.4,1.1626029
10.6,-1.6454773
10.8,-1.0060954
11,-3.9104046
11.2,-15.819846
11.4,-5.8521395
11.6,-2.577577
11.8,-9.3873603
12,-22.329288
12.2,-3.7162719
12.4,-0.59990357
12.6,-2.4860867
12.8,-14.309109
13,-6.3869311
13.2,-0.41400865
13.4,-0.66082636
13.6,0.30075333
13.8,0.49402646
14,-0.29592158
14.2,-0.9173937
14.4,1.2160417
14.6,0.080782387
14.8,-0.48676112
15,-0.78750674
15.2,1.3198232
15.4,0.46414333
15.6,1.9718068
15.8,11.251414
16,10.440167
16.2,4.208376
16.4,11.163838
16.6,18.735064
16.8,4.7309833
17,5.3465099
17.2,18.120571
17.4,10.922556
17.6,1.9185592
17.8,4.8510872
18,20.720803
18.2,9.0107743
18.4,1.4277338
18.6,4.3114063
18.8,16.858166
19,3.8790794
19.2,0.21383719
19.4,0.43727751
19.6,1.0826127
19.8,-1.6135099
20,-1.3406288
20.2,-5.2896186
20.4,-16.375694
20.6,-4.1065205
20.8,-2.1188085
21,-8.7517069
21.2,-23.661484
21.4,-3.7640127
21.6,-2.1607591
21.8,-8.890257
22,-13.509226
22.2,-1.0402015
22.4,-0.14071644
22.6,-0.67591862
22.8,-0.1752222
23,1.5494979
23.2,3.2154378
23.4,11.64797
23.6,9.2540732
23.8,1.2457318
24,1.7116727
24.2,8.771574
24.4,13.193634
24.6,3.0588676
24.8,7.1326983
25,21.162814
25.2,7.133638
25.4,1.9212494
25.6,6.9286127
25.8,23.983619
26,5.422696
26.2,1.6253498
26.4,6.2382971
26.6,17.293399
26.8,1.9827197
27,0.17248043
27.2,0.64059996
27.4,0.26640104
27.6,-1.2742104
27.8,-1.8268616
28,-7.7482931
28.2,-14.23653
28.4,-2.4134463
28.6,-2.6169492
28.8,-11.973438
29,-19.518635
29.2,-2.4153413
29.4,-3.1655393
29.6,-12.900289
29.8,-7.7501112
30,-0.46128845
30.2,-0.09816956
30.4,-0.57094667
30.6,-0.81795705
30.8,2.1799373
31,4.5397868
31.2,12.631637
31.4,7.5105772
31.6,2.7033613
31.8,7.3686393
32,13.845417
32.2,3.1998741
32.4,2.1204292
32.6,8.7366117
32.8,12.932367
33,1.9847626
33.2,2.23431
33.4,10.817577
33.6,21.471277
33.8,2.8758749
34,3.9827956
34.2,14.083846
34.4,6.2815622
34.6,0.79337899
34.8,2.2102603
35,11.586774
35.2,9.4656774
35.4,0.51126559
35.6,0.45940836
35.8,0.73723652
36,-1.1331812
36.2,-0.011640033
36.4,0.50467233
36.6,0.84791775
36.8,-1.4977317
37,-1.589768
37.2,-6.4403228
37.4,-15.663246
37.6,-3.1345846
37.8,-2.0781418
38,-9.2017404
38.2,-23.487549
38.4,-3.4445593
38.6,-2.874268
38.8,-11.273164
39,-9.7918662
39.2,-0.76283853
39.4,-0.025321132
39.6,-0.046055957
39.8,-0.35810804
40,-1.7810194
40.2,3.2677927
40.4,5.9125499
40.6,11.316298
40.8,7.698579
41,5.3516762
41.2,10.472302
41.4,9.1553479
41.6,4.7838564
41.8,8.9233483
42,11.030204
42.2,4.659224
42.4,6.9710837
42.6,12.640617
42.8,5.3866565
43,5.0344138
43.2,12.260452
43.4,7.5789497
43.6,3.5295117
43.8,8.9236979
44,11.806865
44.2,3.196223
44.4,4.604211
44.6,13.883116
44.8,6.4236742
45,1.6467954
45.2,5.1529491
45.4,16.050551
45.6,4.3815039
45.8,1.2097194
46,4.9463142
46.2,23.160549
46.4,7.5239874
46.6,2.9215638
46.8,9.2831329
47,12.408144
47.2,1.8213834
47.4,2.4104805
47.6,10.778823
47.8,10.573632
48,0.63657495
48.2,0.19564011
48.4,0.98151357
48.6,-1.1731271
48.8,-1.2170557
49,-3.4240112
49.2,-13.286865
49.4,-7.7733765
49.6,-0.79601297
49.8,-1.0527068
50,-6.1025711
50.2,-27.282346
50.4,-5.4946787
50.6,-5.3524924
50.8,-13.162137
51,-6.4611205
51.2,-3.4488334
51.4,-9.7101089
51.6,-11.383582
51.8,-2.6256483
52,-4.9324714
52.2,-15.02062
52.4,-4.9118238
52.6,-1.5180905
52.8,-5.5906051
53,-17.25746
53.2,-2.6614423
53.4,-0.14279563
53.6,-0.34943844
53.8,-1.3696555
54,2.021575
54.2,2.3836509
54.4,7.9826668
54.6,13.339297
54.8,2.6779665
55,1.8113907
55.2,7.9823669
55.4,14.041798
55.6,2.4545422
55.8,3.8054357
56,16.129542
56.2,13.643807
56.4,1.3880688
56.6,1.8597616
56.8,9.4791791
57,12.745352
57.2,0.72472315
57.4,0.37542097
57.6,0.96286803
57.8,-1.2981001
58,-0.091320549
58.2,0.35195757
58.4,1.2647025
58.6,-1.8070772
58.8,-1.5449139
59,-5.6609159
59.2,-15.844085
59.4,-3.9004532
59.6,-0.78947861
59.8,-3.2650797
60,-18.548825
60.2,-11.474076
60.4,-3.4028401
60.6,-8.8965779
60.8,-12.503841
61,-2.7448972
61.2,-4.3052738
61.4,-14.234694
61.6,-5.9676156
61.8,-1.2898955
62,-4.3023153
62.2,-16.707399
62.4,-3.9754905
62.6,-0.20809114
62.8,-0.38259328
63,-1.2380844
63.2,1.7785376
63.4,1.5855923
63.6,5.8917309
63.8,15.775141
64,3.6670673
64.2,0.86183328
64.4,3.675213
64.6,20.219405
64.8,10.048902
65,3.4106285
65.2,9.3547413
65.4,11.961517
65.6,2.522297
65.8,4.3222472
66,14.531766
66.2,5.6873785
66.4,1.0812865
66.6,3.6514682
66.8,15.951009
67,4.8115505
67.2,0.26714499
67.4,0.47689295
67.6,0.87302247
67.8,-1.3800793
68,-0.55167939
68.2,-2.3178125
68.4,-12.569059
68.6,-9.1822721
68.8,-3.9869594
69,-11.3342
69.2,-18.844851
69.4,-4.2227386
69.6,-4.5340277
69.8,-16.982765
70,-12.425013
70.2,-1.3971608
70.4,-1.5834059
70.6,-8.6129817
70.8,-25.170513
71,-3.908512
71.2,-5.0826227
71.4,-14.181089
71.6,-5.6264495
71.8,-2.3649196
72,-7.8524804
72.2,-14.480265
72.4,-2.0862874
72.6,-1.4334887
72.8,-6.6951936
73,-17.212568
73.2,-1.5131955
73.4,-0.24268617
73.6,-0.93564413
73.8,1.0630062
74,0.49815181
74.2,-0.0037921137
74.4,-0.13881536
74.6,-1.0058775
74.8,1.3368894
75,3.500145
75.2,8.0314563
75.4,11.871676
75.6,4.8539377
75.8,6.0668945
76,12.8295
76.2,6.1601447
76.4,4.2760448
76.6,11.056823
76.8,9.2374253
77,3.149641
77.2,6.92361
77.4,13.812862
77.6,3.9932563
77.8,3.0236635
78,10.726775
78.2,10.268862
78.4,1.4701756
78.6,1.6077256
78.8,8.0769646
79,14.123402
79.2,3.0434062
79.4,6.47362
79.6,20.607002
79.8,8.084014
80,1.678695
80.2,5.5541571
80.4,22.847105
80.6,7.1940093
80.8,1.8126766
81,6.2566019
81.2,16.882993
81.4,2.239231
81.6,0.1187868
81.8,0.31163195
82,1.4194498
82.2,-2.1518211
82.4,-2.7000192
82.6,-8.4385697
82.8,-12.614063
83,-2.8271693
83.2,-3.0505353
83.4,-11.789477
83.6,-9.2520678
83.8,-1.0237292
84,-0.05249895
84.2,-0.16820285
84.4,-1.2585817
84.6,-10.648885
84.8,-22.637122
85,-5.8413209
85.2,-9.1720456
85.4,-10.230422
85.6,-5.6966078
85.8,-8.3158871
86,-11.110999
86.2,-5.7664583
86.4,-7.3698487
86.6,-11.753573
86.8,-6.1413928
87,-6.3926847
87.2,-11.861911
87.4,-6.9585073
87.6,-5.4706718
87.8,-11.187976
88,-8.3873916
88.2,-4.7117852
88.4,-9.7100316
88.6,-10.506857
88.8,-4.2898042
89,-7.6960444
89.2,-12.768276
89.4,-4.5380196
89.6,-5.5728745
89.8,-13.285175
90,-6.1163805
90.2,-3.7458438
90.4,-10.434269
90.6,-10.336732
90.8,-2.7151949
91,-5.8178705
91.2,-15.222601
91.4,-4.0605686
91.6,-2.1252211
91.8,-8.0722205
92,-14.523996
92.2,-1.5802953
92.4,-0.10201875
92.6,-0.40984274
92.8,-2.8365878
93,-18.528042
93.2,-3.7416259
93.4,-0.39863156
93.6,-0.53790735
93.8,0.614099
94,0.032681594
94.2,-0.57060812
94.4,0.47061168
94.6,0.22683697
94.8,-0.48367407
95,0.021758977
95.2,0.49986613
95.4,-0.30684108
95.6,-0.56748704
95.8,0.83383415
96,-0.078986381
96.2,-0.76934176
96.4,0.80597744
96.6,0.24248226
96.8,-0.47054334
97,-0.49313883
97.2,0.93716511
97.4,-0.072316668
97.6,-0.79163349
97.8,0.55255613
98,0.69574377
98.2,0.016127114
98.4,-0.073316789
98.6,-0.5588472
98.8,-1.0415756
99,3.1340302
99.2,6.426302
99.4,12.159365
99.6,6.442187
99.8,5.2272948
100,11.481458
100.2,8.2194658
100.4,4.2130597
100.6,9.2897763
100.8,11.032271
101,3.8653459
101.2,6.3125673
101.4,13.546447
101.6,5.1235427
101.8,3.6308215
102,11.028408
102.2,9.6336579
102.4,2.196497
102.6,4.5106527
102.8,14.887144
103,5.7467628
103.2,0.53359771
103.4,1.1301029
103.6,6.7218678
103.8,16.394151
104,4.4352201
104.2,8.9116339
104.4,19.468268
104.6,7.052741
104.8,5.2542178
105,15.929218
105.2,13.18442
105.4,3.1474825
105.6,7.1055629
105.8,21.840384
106,6.6104019
106.2,1.1322316
106.4,4.0634232
106.6,20.42134
106.8,9.6808787
107,2.6871786
107.2,7.9385277
107.4,14.234479
107.6,2.2603701
107.8,2.0049702
108,8.8764431
108.2,13.578393
108.4,0.98409178
108.6,0.17630243
108.8,0.84148534
109,-0.64367946
109.2,-1.1790446
109.4,-2.756631
109.6,-11.338004
109.8,-9.8232517
110,-1.2264845
110.2,-1.7512418
