time,A,B
7.800000000000000711e+00,"(7.4762, 8.0359)","(13.6154, -10.6406)"
7.900000000000000355e+00,"(14.0057, 15.7008)","(18.1186, -14.6762)"
8.000000000000000000e+00,"(17.787, 18.2553)","(9.1148, -8.4674)"
8.099999999999999645e+00,"(9.8185, 7.4126)","(2.9978, -3.2764)"
8.200000000000001066e+00,"(4.072, 3.0508)","(0.8462, -1.1104)"
8.300000000000000711e+00,"(4.1672, 4.4255)","(0.7167, -1.1608)"
8.400000000000000355e+00,"(9.5594, 11.0359)","(1.3385, -2.2364)"
8.500000000000000000e+00,"(20.271, 22.8852)","(2.9801, -4.9587)"
8.599999999999999645e+00,"(14.827, 12.242)","(6.899, -11.4642)"
8.700000000000001066e+00,"(6.3644, 2.7385)","(12.4979, -21.1799)"
8.800000000000000711e+00,"(3.7754, 0.586)","(8.1338, -15.6364)"
8.900000000000000355e+00,"(7.5098, 0.5941)","(2.3325, -6.1102)"
9.000000000000000000e+00,"(19.9352, 1.5845)","(0.725, -2.9887)"
9.099999999999999645e+00,"(33.7811, 1.3552)","(0.6749, -3.9036)"
9.200000000000001066e+00,"(13.1276, -3.3701)","(1.1524, -6.8888)"
9.300000000000000711e+00,"(5.5585, -3.4537)","(2.2161, -13.1748)"
9.400000000000000355e+00,"(6.8008, -5.7945)","(3.3426, -20.8928)"
9.500000000000000000e+00,"(14.5242, -12.635)","(2.027, -16.6999)"
9.600000000000001421e+00,"(21.5536, -20.0935)","(0.4344, -7.3745)"
9.700000000000001066e+00,"(8.1846, -11.2728)","(0.1369, -2.7329)"
9.800000000000000711e+00,"(2.0217, -4.0304)","(0.2174, -1.761)"
9.900000000000000355e+00,"(0.3929, -0.7959)","(0.4832, -2.9691)"
1.000000000000000000e+01,"(0.3639, -0.3505)","(1.0654, -6.2298)"
1.010000000000000142e+01,"(1.3047, -1.0965)","(2.3482, -13.6368)"
1.020000000000000107e+01,"(4.8328, -3.9983)","(3.8227, -23.5036)"
1.030000000000000071e+01,"(18.4256, -15.2378)","(1.841, -16.7079)"
1.040000000000000036e+01,"(29.1322, -27.5219)","(0.0736, -6.3114)"
1.050000000000000000e+01,"(5.4877, -16.6507)","(-0.2143, -2.2514)"
1.060000000000000142e+01,"(1.5194, -16.7718)","(-0.4406, -2.3018)"
1.070000000000000107e+01,"(0.4831, -19.289)","(-0.8478, -4.1431)"
1.080000000000000071e+01,"(-0.3335, -16.3955)","(-1.7455, -8.609)"
1.090000000000000036e+01,"(-0.3916, -12.6727)","(-3.5773, -17.5048)"
1.100000000000000000e+01,"(0.1203, -13.4356)","(-5.0688, -22.5813)"
1.110000000000000142e+01,"(0.5475, -18.1561)","(-3.4036, -11.3258)"
1.120000000000000107e+01,"(0.2048, -20.4435)","(-1.5172, -3.877)"
1.130000000000000071e+01,"(-0.6335, -15.1989)","(-0.6197, -1.2226)"
1.140000000000000036e+01,"(-0.4005, -11.249)","(-0.7971, -1.2739)"
1.150000000000000000e+01,"(0.2721, -13.3465)","(-1.5699, -2.4513)"
